id,date_listed,project_id,project_name,developer,ortsteil,bezirk,lat,lon,property_type,rooms,area_m2,floor,total_floors,energy_class,completion_year,total_project_units,possession_status,payment_plan,has_lift,has_balcony,has_parking,transit_station,transit_line,transit_distance_min,to_brandenburg_gate_km,price_eur,price_per_m2_eur,price_usd,price_per_m2_usd,mortgage_rate_at_listing
N000011,2022-10-10,NC0155,Höfe Wittenau,Bonava,Wittenau,Reinickendorf,52.5831,13.33203,3_room,3,100.2,7,8,A_plus,2026,20,completed,tranches_quarterly,True,True,True,Märkisches Museum,U2,116,8.04,615000,6144,664647,6636,3.4
N000012,2023-10-30,NC0120,Kiez Moabit,STADT UND LAND,Moabit,Mitte,52.52846,13.34076,1_room,1,40.0,6,6,A_plus,2025,20,ready_within_6m,full_at_handover,True,False,True,Alexanderplatz S,Stadtbahn,62,2.84,431000,10762,465320,11623,4.1
N000013,2023-01-16,NC0179,Heimat Borsigwalde,Vonovia,Borsigwalde,Reinickendorf,52.59623,13.30575,2_room,2,78.7,6,6,A_plus,2027,50,completed,full_at_handover,True,True,False,Karl-Bonhoeffer-Nervenklinik,U8,36,10.13,434000,5509,468225,5950,3.85
N000014,2022-03-04,NC0008,Lofts Kreuzberg,Stofanel,Kreuzberg,Friedrichshain-Kreuzberg,52.4994,13.39863,5_room_plus,5,167.1,1,4,A_plus,2025,500,under_construction,tranches_quarterly,True,False,True,Schöneberg S,S Ringbahn,48,2.35,1855000,11096,2002974,11984,1.8
N000015,2022-12-13,NC0134,Kiez Französisch,ZIEGERT EverEstate,Französisch Buchholz,Pankow,52.5936,13.42009,4_room,4,148.8,2,4,A,2027,500,ready_within_6m,tranches_quarterly,True,True,False,Ostkreuz,S Ringbahn,131,9.06,1058000,7108,1142716,7677,3.4
N000016,2025-08-06,NC0134,Kiez Französisch,ZIEGERT EverEstate,Französisch Buchholz,Pankow,52.5936,13.42009,5_room_plus,5,185.0,5,6,B,2027,500,ready_within_6m,70_30,True,True,False,Bernauer Straße,U8,81,9.06,1228000,6639,1326425,7170,3.1
N000017,2023-05-31,NC0063,Carré Dahlem,GAGFAH,Dahlem,Steglitz-Zehlendorf,52.45761,13.29771,3_room,3,95.7,5,6,B,2027,500,completed,tranches_quarterly,True,True,False,Hallesches Tor,U1,98,8.48,1071000,11195,1157061,12091,3.85
N000018,2025-10-11,NC0102,Living Müggelheim,Buwog,Müggelheim,Treptow-Köpenick,52.41239,13.68166,2_room,2,52.0,6,6,A,2027,250,completed,off_plan_30_70,True,True,True,Gneisenaustraße,U7,255,23.61,374000,7206,404356,7783,3.1
N000019,2024-08-08,NC0160,Living Lichtenberg,ZIEGERT EverEstate,Lichtenberg (Ort),Lichtenberg,52.51241,13.51012,3_room,3,83.9,1,6,A_plus,2028,120,ready_within_6m,full_at_handover,True,True,False,Storkower Straße,S Ringbahn,32,8.97,449000,5349,484559,5777,3.5
N000020,2022-06-21,NC0058,Gärten Britz,Gewobag,Britz,Neukölln,52.45139,13.44651,3_room,3,58.1,0,5,B,2026,500,completed,70_30,False,True,True,Blaschkoallee,U7,6,8.59,348000,6002,376332,6483,1.8
N000021,2022-01-27,NC0145,Living Tempelhof,Investa Real Estate,Tempelhof,Tempelhof-Schöneberg,52.47325,13.40964,2_room,2,26.5,6,6,A,2025,250,ready_within_6m,full_at_handover,True,True,False,Sundgauer Straße,S1,121,5.25,230000,8667,248185,9360,1.8
N000022,2021-04-05,NC0141,Allee Prenzlauer,Adler Group,Prenzlauer Berg,Pankow,52.54883,13.43711,3_room,3,92.7,5,5,A,2024,120,ready_within_6m,full_at_handover,True,True,True,Mehringdamm,U7,89,5.41,988000,10657,1067014,11509,1.1
N000023,2025-05-25,NC0160,Living Lichtenberg,ZIEGERT EverEstate,Lichtenberg (Ort),Lichtenberg,52.51241,13.51012,2_room,2,74.1,8,8,A,2028,120,under_construction,tranches_quarterly,True,True,False,Storkower Straße,S Ringbahn,31,8.97,401000,5415,433285,5848,3.3
N000024,2026-03-06,NC0065,Quartier Charlottenburg-Nord,STADT UND LAND,Charlottenburg-Nord,Charlottenburg-Wilmersdorf,52.53908,13.29036,2_room,2,66.1,0,6,A_plus,2025,500,completed,off_plan_30_70,True,False,True,Wittenbergplatz,U1,72,6.43,673000,10186,727111,11001,3.1
N000025,2023-04-02,NC0197,Hofgarten Alt-Treptow,Project Immobilien,Alt-Treptow,Treptow-Köpenick,52.4947,13.44106,4_room,4,124.6,6,8,A_plus,2028,20,under_construction,tranches_quarterly,True,True,False,Klosterstraße,U2,39,4.91,1044000,8379,1127655,9050,3.85
N000026,2022-07-08,NC0053,Suites Staaken,Buwog,Staaken,Spandau,52.53449,13.13129,2_room,2,69.8,4,8,A_plus,2027,120,ready_within_6m,off_plan_30_70,True,True,True,Theodor-Heuss-Platz,U2,126,16.79,278000,3982,300061,4301,3.4
N000027,2025-03-16,NC0116,Heimat Frohnau,Adler Group,Frohnau,Reinickendorf,52.63763,13.28808,3_room,3,85.1,7,8,A,2026,250,ready_within_6m,70_30,True,True,True,Ruhleben,U2,162,14.79,726000,8533,784207,9216,3.3
N000028,2025-06-05,NC0126,Häuser Kladow,Bauwert,Kladow,Spandau,52.45089,13.14089,2_room,2,65.4,1,4,B,2027,500,completed,full_at_handover,True,True,True,Halemweg,U7,170,17.61,398000,6087,430038,6574,3.3
N000029,2022-08-21,NC0152,Allee Plänterwald,GAGFAH,Plänterwald,Treptow-Köpenick,52.48571,13.47455,4_room,4,101.2,1,4,B,2027,500,under_construction,off_plan_30_70,True,True,True,Mehringdamm,U7,73,7.39,763000,7534,823734,8137,3.4
N000030,2022-05-25,NC0171,Wohnen Frohnau,Diamona & Harnisch,Frohnau,Reinickendorf,52.63789,13.28948,1_room,1,27.7,0,8,A,2025,20,completed,off_plan_30_70,True,True,False,Residenzstraße,U8,112,14.78,182000,6595,197083,7122,1.8
N000031,2023-06-05,NC0154,Suites Rummelsburg,Stofanel,Rummelsburg,Lichtenberg,52.5072,13.48355,5_room_plus,5,149.2,3,8,A_plus,2027,120,ready_within_6m,70_30,True,True,False,Ostkreuz,S Ringbahn,14,7.23,1191000,7983,1286629,8622,3.85
N000032,2023-06-05,NC0190,Kiez Frohnau,Investa Real Estate,Frohnau,Reinickendorf,52.6304,13.28628,3_room,3,90.8,4,8,A,2026,500,ready_within_6m,full_at_handover,True,True,True,Hackescher Markt,Stadtbahn,178,14.11,699000,7699,754625,8315,3.85
N000033,2021-04-12,NC0032,Suites Hermsdorf,Bonava,Hermsdorf,Reinickendorf,52.6215,13.30255,2_room,2,37.7,8,8,B,2026,250,under_construction,full_at_handover,True,True,False,Bismarckstraße,U7,145,12.75,218000,5781,235323,6243,1.1
N000034,2023-06-24,NC0023,Suites Treptow,Bauwert,Treptow,Treptow-Köpenick,52.48618,13.45647,5_room_plus,5,209.3,1,6,A,2026,120,under_construction,tranches_quarterly,True,True,False,Hermannplatz,U7,26,6.3,1614000,7712,1743080,8329,3.85
N000035,2022-05-20,NC0092,Allee Grünau,Project Immobilien,Grünau,Treptow-Köpenick,52.41693,13.57152,2_room,2,82.1,4,4,B,2028,250,under_construction,off_plan_30_70,True,False,False,Sundgauer Straße,S1,250,17.16,522000,6362,564102,6871,1.8
N000036,2025-12-03,NC0174,Atelier Baumschulenweg,Project Immobilien,Baumschulenweg,Treptow-Köpenick,52.46587,13.47431,2_room,2,71.8,6,8,A_plus,2028,50,completed,tranches_quarterly,True,True,True,Parchimer Allee,U7,35,8.62,535000,7449,577900,8044,3.1
N000037,2025-12-19,NC0024,Towers Moabit,Stofanel,Moabit,Mitte,52.53255,13.32498,1_room,1,28.3,0,4,B,2024,250,under_construction,off_plan_30_70,True,True,True,Prenzlauer Allee S,S Ringbahn,93,4.0,263000,9283,283753,10026,3.1
N000038,2024-10-30,NC0046,Häuser Französisch,Trockland,Französisch Buchholz,Pankow,52.5965,13.43452,3_room,3,70.9,9,12,B,2026,500,under_construction,tranches_quarterly,True,True,False,Senefelderplatz,U2,82,9.71,475000,6698,512655,7234,3.5
N000039,2021-07-22,NC0031,Platz Kreuzberg,Trockland,Kreuzberg,Friedrichshain-Kreuzberg,52.49945,13.39317,3_room,3,90.1,0,5,A,2027,20,ready_within_6m,70_30,True,True,True,Zoologischer Garten,U2,56,2.15,919000,10191,992064,11006,1.1
N000040,2023-04-07,NC0193,Suites Frohnau,Trockland,Frohnau,Reinickendorf,52.62697,13.29204,3_room,3,102.7,2,5,A,2027,20,under_construction,off_plan_30_70,True,True,False,Innsbrucker Platz,S Ringbahn,206,13.6,711000,6917,767525,7470,3.85
N000041,2023-03-11,NC0111,Park Halensee,Berlinovo,Halensee,Charlottenburg-Wilmersdorf,52.49528,13.29473,2_room,2,64.1,1,4,A,2027,120,under_construction,full_at_handover,True,False,False,Wilmersdorfer Straße,U7,21,6.08,693000,10802,748349,11666,3.85
N000042,2024-11-21,NC0063,Carré Dahlem,GAGFAH,Dahlem,Steglitz-Zehlendorf,52.45761,13.29771,4_room,4,87.5,4,5,A,2027,500,under_construction,tranches_quarterly,True,True,False,Gneisenaustraße,U7,100,8.48,1134000,12964,1224418,14001,3.5
N000043,2021-03-24,NC0078,Quartier Friedenau,GHL Berlin,Friedenau,Tempelhof-Schöneberg,52.46986,13.32947,1_room,1,28.6,1,6,A,2026,50,under_construction,off_plan_30_70,True,False,True,Lichterfelde West,S1,69,6.11,270000,9456,292051,10212,1.1
N000044,2025-12-18,NC0086,Platz Weißensee,Investa Real Estate,Weißensee,Pankow,52.55186,13.47964,4_room,4,117.5,2,4,A,2026,50,completed,off_plan_30_70,True,True,True,Schlesisches Tor,U1,79,7.95,999000,8500,1078676,9180,3.1
N000045,2024-09-01,NC0188,Wohnen Mitte,TAG Immobilien,Mitte (Ort),Mitte,52.52404,13.39209,4_room,4,130.9,1,6,A,2028,50,ready_within_6m,tranches_quarterly,True,True,True,Potsdamer Platz,U2,29,1.3,1571000,12002,1696504,12962,3.5
N000046,2021-11-02,NC0004,Carré Borsigwalde,GAGFAH,Borsigwalde,Reinickendorf,52.59116,13.30229,3_room,3,72.0,1,5,B,2028,120,completed,full_at_handover,False,True,False,Gneisenaustraße,U7,158,9.76,354000,4923,382659,5317,1.1
N000047,2022-12-22,NC0035,Domizil Pankow,STADT UND LAND,Pankow (Ort),Pankow,52.5715,13.40335,2_room,2,62.3,0,4,B,2027,500,under_construction,off_plan_30_70,True,True,False,Pankow U2,U2,8,6.38,585000,9390,631593,10141,3.4
N000048,2025-02-13,NC0056,Suites Waidmannslust,Groth Gruppe,Waidmannslust,Reinickendorf,52.60196,13.33477,3_room,3,106.0,1,8,A,2026,500,under_construction,tranches_quarterly,True,True,False,Gesundbrunnen U,U8,90,9.96,592000,5580,639127,6027,3.3
N000049,2023-09-10,NC0123,Pavillon Treptow,STADT UND LAND,Treptow,Treptow-Köpenick,52.48612,13.4531,3_room,3,58.4,0,5,A_plus,2026,250,under_construction,full_at_handover,True,True,False,Hermannplatz,U7,29,6.11,397000,6802,428848,7346,4.1
N000050,2023-03-22,NC0099,Allee Grünau,GAGFAH,Grünau,Treptow-Köpenick,52.40577,13.57903,1_room,1,23.3,4,6,A,2027,120,under_construction,70_30,True,True,False,Möckernbrücke,U1,208,18.36,171000,7327,184655,7913,3.85
N000051,2024-06-23,NC0092,Allee Grünau,Project Immobilien,Grünau,Treptow-Köpenick,52.41693,13.57152,1_room,1,35.9,0,8,A,2028,250,ready_within_6m,off_plan_30_70,True,True,True,Hausvogteiplatz,U2,195,17.16,222000,6169,239496,6663,3.85
N000052,2025-05-16,NC0160,Living Lichtenberg,ZIEGERT EverEstate,Lichtenberg (Ort),Lichtenberg,52.51241,13.51012,1_room,1,40.1,3,5,A_plus,2028,120,under_construction,tranches_quarterly,True,True,True,Warschauer Straße,U1,56,8.97,287000,7165,310004,7738,3.3
N000053,2023-09-28,NC0094,Carré Wartenberg,Deutsche Wohnen,Wartenberg,Lichtenberg,52.58811,13.50565,4_room,4,99.1,0,4,A,2027,120,completed,full_at_handover,False,True,False,Westkreuz,S Ringbahn,219,11.77,505000,5099,545450,5507,4.1
N000054,2025-03-18,NC0143,Towers Alt-Treptow,Bauwert,Alt-Treptow,Treptow-Köpenick,52.49622,13.44378,2_room,2,64.7,8,8,A_plus,2027,20,completed,full_at_handover,True,True,False,Schlesisches Tor,U1,6,5.0,617000,9532,666140,10294,3.3
N000055,2022-04-21,NC0154,Suites Rummelsburg,Stofanel,Rummelsburg,Lichtenberg,52.5072,13.48355,3_room,3,71.9,1,5,A,2027,120,under_construction,off_plan_30_70,True,True,False,Ostbahnhof,Stadtbahn,45,7.23,534000,7438,577210,8033,1.8
N000056,2021-08-01,NC0145,Living Tempelhof,Investa Real Estate,Tempelhof,Tempelhof-Schöneberg,52.47325,13.40964,2_room,2,74.2,2,5,A_plus,2025,250,under_construction,off_plan_30_70,True,True,True,Johannisthaler Chaussee,U7,66,5.25,526000,7093,568615,7660,1.1
N000057,2022-11-04,NC0106,Höfe Tiergarten,Becken,Tiergarten,Mitte,52.51574,13.34745,4_room,4,161.9,4,6,A,2026,250,under_construction,off_plan_30_70,True,True,True,Tiergarten S,Stadtbahn,7,2.05,1785000,11026,1927539,11908,3.4
N000058,2025-09-18,NC0062,Park Zehlendorf,STADT UND LAND,Zehlendorf,Steglitz-Zehlendorf,52.42427,13.24837,2_room,2,50.8,8,12,B,2026,50,under_construction,70_30,True,True,True,Jungfernheide U,U7,158,13.47,513000,10099,554091,10907,3.1
N000059,2025-10-12,NC0053,Suites Staaken,Buwog,Staaken,Spandau,52.53449,13.13129,2_room,2,51.8,5,5,A_plus,2027,120,completed,70_30,True,True,True,Mexikoplatz,S1,138,16.79,271000,5226,292577,5644,3.1
N000060,2021-06-02,NC0013,Heimat Dahlem,Project Immobilien,Dahlem,Steglitz-Zehlendorf,52.45677,13.2746,2_room,2,67.0,7,12,A,2026,120,ready_within_6m,tranches_quarterly,True,True,True,Theodor-Heuss-Platz,U2,65,9.62,742000,11073,800991,11959,1.1
N000061,2021-07-14,NC0151,Hofgarten Schmöckwitz,Diamona & Harnisch,Schmöckwitz,Treptow-Köpenick,52.37583,13.63012,5_room_plus,5,185.9,2,4,B,2026,500,ready_within_6m,full_at_handover,False,True,True,Zwickauer Damm,U7,136,23.17,1262000,6789,1362744,7332,1.1
N000062,2023-10-11,NC0031,Platz Kreuzberg,Trockland,Kreuzberg,Friedrichshain-Kreuzberg,52.49945,13.39317,2_room,2,71.1,5,6,A,2027,20,under_construction,full_at_handover,True,True,False,Hallesches Tor,U1,6,2.15,804000,11305,868167,12209,4.1
N000063,2023-04-22,NC0145,Living Tempelhof,Investa Real Estate,Tempelhof,Tempelhof-Schöneberg,52.47325,13.40964,2_room,2,71.9,3,5,A,2025,250,ready_within_6m,full_at_handover,True,True,False,Weinmeisterstraße,U8,74,5.25,508000,7069,549173,7635,3.85
N000064,2024-06-29,NC0022,Residenz Lankwitz,Deutsche Wohnen,Lankwitz,Steglitz-Zehlendorf,52.44061,13.34926,2_room,2,32.2,0,8,B,2027,20,under_construction,off_plan_30_70,True,True,False,Nollendorfplatz,U1,84,8.63,260000,8069,281001,8714,3.85
N000065,2021-09-15,NC0078,Quartier Friedenau,GHL Berlin,Friedenau,Tempelhof-Schöneberg,52.46986,13.32947,3_room,3,63.9,5,5,A_plus,2026,50,under_construction,tranches_quarterly,True,True,False,Friedenau S,S1,5,6.11,568000,8886,613425,9597,1.1
N000066,2021-09-22,NC0036,Gärten Schmöckwitz,Berlinovo,Schmöckwitz,Treptow-Köpenick,52.3725,13.6536,4_room,4,142.9,11,12,A_plus,2028,50,ready_within_6m,70_30,True,True,False,Stadtmitte,U2,285,24.6,990000,6927,1068871,7481,1.1
N000067,2022-03-01,NC0128,Lofts Lübars,Trockland,Lübars,Reinickendorf,52.60422,13.36301,4_room,4,124.1,4,5,A,2025,50,under_construction,off_plan_30_70,True,True,True,Mexikoplatz,S1,237,9.83,1017000,8195,1098558,8851,1.8
N000068,2024-08-02,NC0128,Lofts Lübars,Trockland,Lübars,Reinickendorf,52.60422,13.36301,3_room,3,72.3,3,4,A,2025,50,under_construction,full_at_handover,True,True,False,Residenzstraße,U8,54,9.83,478000,6607,516034,7136,3.5
N000069,2025-12-22,NC0156,Pavillon Plänterwald,ZIEGERT EverEstate,Plänterwald,Treptow-Köpenick,52.48716,13.47424,4_room,4,121.1,1,5,A_plus,2025,20,under_construction,off_plan_30_70,True,False,True,Treptower Park,S Ringbahn,17,7.29,992000,8195,1071775,8851,3.1
N000070,2025-12-03,NC0176,Heimat Spandau,Adler Group,Spandau (Ort),Spandau,52.53613,13.20092,1_room,1,42.2,0,12,A,2027,500,under_construction,70_30,True,True,False,Rathaus Spandau,U7,4,12.16,238000,5644,257138,6096,3.1
N000071,2021-11-18,NC0021,Towers Waidmannslust,STADT UND LAND,Waidmannslust,Reinickendorf,52.596,13.33523,5_room_plus,5,153.2,1,5,B,2025,20,under_construction,full_at_handover,True,False,True,Karl-Bonhoeffer-Nervenklinik,U8,12,9.32,825000,5382,890669,5812,1.1
N000072,2025-06-20,NC0077,Höfe Britz,Buwog,Britz,Neukölln,52.45055,13.44052,4_room,4,126.0,3,4,A_plus,2025,120,completed,tranches_quarterly,True,True,True,Grenzallee,U7,13,8.46,867000,6878,936065,7428,3.3
N000073,2024-08-10,NC0109,Pavillon Karlshorst,Deutsche Wohnen,Karlshorst,Lichtenberg,52.48189,13.52289,2_room,2,64.0,4,8,A_plus,2027,20,under_construction,70_30,True,True,False,Hermannstraße S,S Ringbahn,79,10.55,419000,6544,452071,7068,3.5
N000074,2021-07-23,NC0050,Domizil Plänterwald,Vonovia,Plänterwald,Treptow-Köpenick,52.47719,13.46661,3_room,3,65.2,0,5,A,2027,250,under_construction,off_plan_30_70,True,True,True,Sonnenallee,S Ringbahn,11,7.43,426000,6536,460529,7059,1.1
N000075,2022-10-01,NC0052,Atelier Märkisches,Vonovia,Märkisches Viertel,Reinickendorf,52.60211,13.34025,4_room,4,108.2,3,6,A_plus,2027,500,ready_within_6m,off_plan_30_70,True,True,False,Mexikoplatz,S1,226,9.87,546000,5052,590209,5456,3.4
N000076,2023-12-17,NC0198,Suites Steglitz,Diamona & Harnisch,Steglitz,Steglitz-Zehlendorf,52.44761,13.32587,2_room,2,72.6,2,6,A,2026,500,under_construction,full_at_handover,True,True,True,Schlachtensee,S1,94,8.41,688000,9472,742675,10229,4.1
N000077,2022-04-26,NC0191,Pavillon Schmargendorf,GHL Berlin,Schmargendorf,Charlottenburg-Wilmersdorf,52.47336,13.30436,2_room,2,50.5,2,12,A_plus,2027,20,under_construction,tranches_quarterly,True,False,True,Botanischer Garten,S1,46,6.89,581000,11488,627039,12407,1.8
N000078,2023-10-28,NC0048,Carré Karlshorst,ZIEGERT EverEstate,Karlshorst,Lichtenberg,52.48853,13.53009,2_room,2,57.5,5,5,A_plus,2028,120,ready_within_6m,off_plan_30_70,True,False,True,Greifswalder Straße,S Ringbahn,99,10.77,390000,6771,420761,7312,4.1
N000079,2024-05-13,NC0024,Towers Moabit,Stofanel,Moabit,Mitte,52.53255,13.32498,2_room,2,72.4,8,8,A,2024,250,ready_within_6m,full_at_handover,False,True,True,Beusselstraße,S Ringbahn,13,4.0,806000,11134,870361,12025,3.85
N000080,2021-01-18,NC0164,Hofgarten Mariendorf,Bauwert,Mariendorf,Tempelhof-Schöneberg,52.44319,13.39109,2_room,2,66.5,4,4,A_plus,2026,50,under_construction,tranches_quarterly,True,True,True,Blaschkoallee,U7,49,8.18,393000,5913,424751,6386,1.1
N000081,2025-10-01,NC0187,Pavillon Westend,STADT UND LAND,Westend,Charlottenburg-Wilmersdorf,52.51536,13.2706,2_room,2,62.8,1,4,A,2028,50,ready_within_6m,full_at_handover,True,True,True,Rohrdamm,U7,38,7.25,629000,10031,679835,10834,3.1
N000082,2024-04-19,NC0079,Towers Weißensee,TAG Immobilien,Weißensee,Pankow,52.55117,13.47499,2_room,2,52.8,2,6,A,2025,250,ready_within_6m,full_at_handover,True,True,False,Gneisenaustraße,U7,102,7.64,395000,7479,426533,8078,3.85
N000083,2022-04-06,NC0010,Residenz Siemensstadt,STADT UND LAND,Siemensstadt,Spandau,52.53179,13.26106,1_room,1,42.2,0,4,B,2025,250,under_construction,tranches_quarterly,True,False,False,Kottbusser Tor U8,U8,135,8.08,253000,6001,273464,6481,1.8
N000084,2021-08-31,NC0151,Hofgarten Schmöckwitz,Diamona & Harnisch,Schmöckwitz,Treptow-Köpenick,52.37583,13.63012,3_room,3,52.7,3,4,A,2026,500,completed,70_30,True,True,False,Leinestraße,U8,209,23.17,370000,7019,399652,7580,1.1
N000085,2023-11-01,NC0133,Kiez Prenzlauer,Trockland,Prenzlauer Berg,Pankow,52.54799,13.43128,3_room,3,75.9,0,8,B,2025,500,under_construction,tranches_quarterly,True,False,True,Tempelhof S,S Ringbahn,112,5.06,824000,10856,890176,11725,4.1
N000086,2021-08-17,NC0188,Wohnen Mitte,TAG Immobilien,Mitte (Ort),Mitte,52.52404,13.39209,2_room,2,73.9,3,6,A,2028,50,completed,tranches_quarterly,True,True,True,Friedrichstraße,Stadtbahn,7,1.3,872000,11800,941652,12744,1.1
N000087,2022-04-08,NC0123,Pavillon Treptow,STADT UND LAND,Treptow,Treptow-Köpenick,52.48612,13.4531,4_room,4,129.4,4,6,A_plus,2026,250,under_construction,full_at_handover,True,True,False,Karl-Marx-Straße,U7,25,6.11,982000,7592,1060798,8199,1.8
N000088,2022-09-19,NC0089,Häuser Hellersdorf,Bonava,Hellersdorf,Marzahn-Hellersdorf,52.53272,13.5955,2_room,2,48.2,2,6,A,2024,50,ready_within_6m,full_at_handover,True,True,True,Konstanzer Straße,U7,234,14.85,214000,4437,231149,4792,3.4
N000089,2024-11-21,NC0173,Quartier Hellersdorf,Trockland,Hellersdorf,Marzahn-Hellersdorf,52.54002,13.60707,3_room,3,69.9,2,5,A_plus,2028,120,ready_within_6m,70_30,True,True,False,Warschauer Straße S,Stadtbahn,135,15.74,272000,3896,294193,4208,3.5
N000090,2024-05-24,NC0039,Heimat Wannsee,Becken,Wannsee,Steglitz-Zehlendorf,52.41448,13.17166,4_room,4,111.3,5,6,A_plus,2028,250,ready_within_6m,tranches_quarterly,True,True,True,Wannsee,S1,9,17.97,1447000,12998,1562579,14038,3.85
N000091,2022-12-03,NC0190,Kiez Frohnau,Investa Real Estate,Frohnau,Reinickendorf,52.6304,13.28628,2_room,2,57.8,6,6,A,2026,500,ready_within_6m,off_plan_30_70,True,True,False,Schlesisches Tor,U1,216,14.11,453000,7840,489556,8467,3.4
N000092,2023-10-15,NC0150,Residenz Grunewald,ZIEGERT EverEstate,Grunewald,Charlottenburg-Wilmersdorf,52.48826,13.2541,3_room,3,117.9,0,6,A,2025,20,completed,70_30,True,True,True,Theodor-Heuss-Platz,U2,33,8.93,1666000,14128,1798943,15258,4.1
N000093,2023-12-31,NC0170,Gärten Tiergarten,ZIEGERT EverEstate,Tiergarten,Mitte,52.51449,13.34122,5_room_plus,5,159.4,0,4,B,2026,120,under_construction,full_at_handover,True,True,False,Bellevue,Stadtbahn,14,2.48,1866000,11711,2015575,12648,4.1
N000094,2023-11-10,NC0026,Hofgarten Schöneberg,Adler Group,Schöneberg,Tempelhof-Schöneberg,52.47404,13.3455,5_room_plus,5,200.2,2,5,A_plus,2027,500,under_construction,full_at_handover,True,True,False,Bundesplatz,S Ringbahn,16,5.18,2155000,10763,2327597,11624,4.1
N000095,2024-07-01,NC0044,Platz Hermsdorf,Bonava,Hermsdorf,Reinickendorf,52.61612,13.29123,1_room,1,39.6,2,6,A,2026,20,under_construction,full_at_handover,True,True,True,Rohrdamm,U7,118,12.54,303000,7662,327364,8275,3.5
N000096,2024-01-28,NC0039,Heimat Wannsee,Becken,Wannsee,Steglitz-Zehlendorf,52.41448,13.17166,3_room,3,66.8,8,8,A,2028,250,under_construction,full_at_handover,True,False,True,Wannsee,S1,15,17.97,636000,9529,687041,10291,3.85
N000097,2024-01-25,NC0099,Allee Grünau,GAGFAH,Grünau,Treptow-Köpenick,52.40577,13.57903,2_room,2,46.0,0,6,A,2027,120,under_construction,full_at_handover,True,False,True,Gesundbrunnen S,S Ringbahn,251,18.36,321000,6966,346306,7523,3.85
N000098,2025-02-03,NC0088,Hofgarten Mahlsdorf,TAG Immobilien,Mahlsdorf,Marzahn-Hellersdorf,52.49519,13.62682,1_room,1,34.7,0,4,A,2028,250,under_construction,full_at_handover,True,True,False,Kottbusser Tor U8,U8,175,17.02,182000,5247,196743,5667,3.3
