id,date_listed,ortsteil,bezirk,kiez_premium,lat,lon,property_type,rooms,area_m2,floor,total_floors,year_built,building_era,energy_class,position,condition,has_lift,has_balcony,has_cellar,has_parking,transit_station,transit_line,transit_distance_min,transit_distance_type,to_brandenburg_gate_km,price_eur,price_per_m2_eur,price_usd,price_per_m2_usd,mortgage_rate_at_listing
S000028,2025-10-12,Spandau (Ort),Spandau,low,52.53725,13.19707,1_room,1,35.6,2,4,1974,post_war_1949_1990,E,seitenflügel,modernisiert,True,True,True,False,Altstadt Spandau,U7,7,walk,12.44,109000,3068,117813,3314,3.1
S000029,2023-08-15,Kreuzberg,Friedrichshain-Kreuzberg,high,52.50035,13.40881,3_room,3,78.5,4,6,1925,altbau_pre_1949,G,vorderhaus,modernisiert,False,True,True,False,Mehringdamm,U7,12,tram_bus,2.75,465000,5922,501992,6396,4.1
S000030,2021-07-22,Haselhorst,Spandau,low,52.55218,13.23995,3_room,3,95.6,2,8,1885,altbau_pre_1949,E,vorderhaus,modernisiert,False,True,False,False,Jakob-Kaiser-Platz,U7,19,tram_bus,10.14,234000,2444,252443,2639,1.1
S000031,2022-04-23,Spandau (Ort),Spandau,low,52.53587,13.20898,5_room_plus,5,261.8,2,6,1961,post_war_1949_1990,F,vorderhaus,renovierungsbedürftig,True,True,True,True,Charlottenburg S,Stadtbahn,40,tram_bus,11.62,473000,1806,510664,1950,1.8
S000032,2025-01-26,Gatow,Spandau,medium,52.48482,13.17661,1_room,1,46.2,5,5,1937,altbau_pre_1949,F,vorderhaus,saniert,True,False,True,True,Westkreuz,S Ringbahn,37,tram_bus,14.05,129000,2783,138941,3005,3.3
S000033,2020-07-13,Tiergarten,Mitte,high,52.51628,13.37045,2_room,2,50.1,3,6,1975,post_war_1949_1990,F,vorderhaus,modernisiert,True,True,False,False,Brandenburger Tor S,S1,13,tram_bus,0.49,268000,5348,289309,5776,1.1
S000034,2020-10-04,Hermsdorf,Reinickendorf,medium,52.60731,13.30532,2_room,2,49.3,5,5,2019,new_post_2010,A_plus,vorderhaus,saniert,True,False,True,False,Richard-Wagner-Platz,U7,48,tram_bus,11.24,231000,4692,249974,5067,1.1
S000035,2024-01-04,Siemensstadt,Spandau,low,52.53298,13.25535,5_room_plus,5,218.4,5,5,2021,new_post_2010,B,gartenhaus,kernsaniert,False,True,True,False,Charlottenburg S,Stadtbahn,22,tram_bus,8.48,832000,3810,898809,4115,3.85
S000036,2025-03-13,Wittenau,Reinickendorf,low,52.59865,13.31972,3_room,3,78.2,3,4,1915,altbau_pre_1949,F,gartenhaus,modernisiert,False,False,True,False,Karl-Bonhoeffer-Nervenklinik,U8,12,tram_bus,9.96,233000,2982,251881,3220,3.3
S000037,2025-03-15,Dahlem,Steglitz-Zehlendorf,high,52.44932,13.30251,1_room,1,21.5,1,3,1953,post_war_1949_1990,F,hinterhaus,kernsaniert,False,False,False,True,Botanischer Garten,S1,13,tram_bus,9.02,136000,6336,147231,6843,3.3
S000038,2021-08-30,Mitte (Ort),Mitte,high,52.51886,13.39387,1_room,1,30.7,6,8,1959,post_war_1949_1990,G,vorderhaus,kernsaniert,True,True,True,True,Rosa-Luxemburg-Platz,U2,13,walk,1.13,217000,7072,234714,7637,1.1
S000039,2024-07-16,Dahlem,Steglitz-Zehlendorf,high,52.46409,13.28626,4_room,4,160.2,3,4,1908,altbau_pre_1949,F,gartenhaus,renovierungsbedürftig,False,True,True,False,Johannisthaler Chaussee,U7,48,tram_bus,8.49,723000,4513,780592,4874,3.5
S000040,2023-07-06,Hansaviertel,Mitte,high,52.51486,13.31935,3_room,3,87.8,0,5,1941,altbau_pre_1949,G,vorderhaus,saniert,False,True,True,False,Beusselstraße,S Ringbahn,16,tram_bus,3.95,660000,7515,712892,8116,4.1
S000041,2021-11-22,Wedding,Mitte,medium,52.54387,13.34965,2_room,2,70.0,1,4,1940,altbau_pre_1949,F,hinterhaus,kernsaniert,False,True,True,False,Ernst-Reuter-Platz,U2,21,tram_bus,3.61,368000,5258,397680,5679,1.1
S000042,2022-09-14,Kladow,Spandau,medium,52.45153,13.13269,5_room_plus,5,177.6,3,5,1944,altbau_pre_1949,D,vorderhaus,saniert,True,True,True,False,Parchimer Allee,U7,90,tram_bus,18.09,751000,4228,810821,4566,3.4
S000043,2024-06-01,Frohnau,Reinickendorf,medium,52.62889,13.27678,2_room,2,66.7,1,5,1908,altbau_pre_1949,D,hinterhaus,renoviert,False,True,True,False,Halemweg,U7,44,tram_bus,14.26,173000,2589,186495,2796,3.85
S000044,2025-10-13,Rudow,Neukölln,low,52.42267,13.49807,2_room,2,77.5,2,5,2017,new_post_2010,A,hinterhaus,saniert,True,True,False,True,Wutzkyallee,U7,13,walk,13.22,290000,3741,313244,4040,3.1
S000045,2021-07-12,Lankwitz,Steglitz-Zehlendorf,medium,52.45029,13.36285,3_room,3,68.7,4,8,2010,new_post_2010,B,vorderhaus,kernsaniert,False,True,False,False,Hermannplatz,U7,38,tram_bus,7.41,446000,6496,481775,7016,1.1
S000046,2023-06-20,Friedrichshagen,Treptow-Köpenick,medium,52.46316,13.62855,3_room,3,105.0,4,5,1982,post_war_1949_1990,B,vorderhaus,renoviert,True,False,True,False,Heinrich-Heine-Straße,U8,65,tram_bus,17.98,373000,3554,402950,3838,3.85
S000047,2020-11-28,Plänterwald,Treptow-Köpenick,medium,52.47651,13.47549,3_room,3,91.4,0,5,1948,altbau_pre_1949,B,gartenhaus,renovierungsbedürftig,True,False,False,False,Görlitzer Bahnhof,U1,20,tram_bus,7.96,292000,3199,315628,3455,1.1
S000048,2022-03-04,Marzahn,Marzahn-Hellersdorf,low,52.54321,13.54256,3_room,3,83.0,3,5,1983,post_war_1949_1990,D,seitenflügel,renovierungsbedürftig,True,False,True,False,Zwickauer Damm,U7,68,tram_bus,11.55,130000,1564,140222,1689,1.8
S000049,2020-01-29,Lübars,Reinickendorf,medium,52.60991,13.34638,3_room,3,89.0,5,5,2011,new_post_2010,A,seitenflügel,saniert,False,True,True,False,Karl-Bonhoeffer-Nervenklinik,U8,19,tram_bus,10.62,310000,3482,334855,3760,1.1
S000050,2024-02-01,Wartenberg,Lichtenberg,low,52.58498,13.52805,2_room,2,74.6,2,6,2008,modern_1990_2010,B,gartenhaus,kernsaniert,True,True,True,False,Neukölln,U7,62,tram_bus,12.71,274000,3670,295598,3964,3.85
S000051,2025-08-13,Konradshöhe,Reinickendorf,medium,52.60402,13.22425,2_room,2,64.4,3,6,1972,post_war_1949_1990,E,gartenhaus,modernisiert,True,True,True,True,Jakob-Kaiser-Platz,U7,35,tram_bus,14.24,180000,2795,194350,3019,3.1
S000052,2021-04-03,Märkisches Viertel,Reinickendorf,low,52.60238,13.33508,3_room,3,86.3,0,4,1947,altbau_pre_1949,F,vorderhaus,saniert,False,True,True,False,Hausvogteiplatz,U2,45,tram_bus,10.0,216000,2505,233571,2705,1.1
S000053,2021-11-12,Halensee,Charlottenburg-Wilmersdorf,high,52.491,13.29042,4_room,4,114.4,0,8,2024,new_post_2010,D,vorderhaus,saniert,True,True,True,False,Bismarckstraße,U7,11,tram_bus,6.54,839000,7334,906057,7921,1.1
S000054,2020-09-03,Buch,Pankow,low,52.63134,13.4947,2_room,2,49.7,4,4,1937,altbau_pre_1949,G,hinterhaus,saniert,False,False,True,False,Beusselstraße,S Ringbahn,69,tram_bus,15.04,71000,1426,76459,1540,1.1
S000055,2022-08-13,Lichtenberg (Ort),Lichtenberg,medium,52.51257,13.49534,2_room,2,52.5,0,6,2007,modern_1990_2010,C,vorderhaus,saniert,True,True,False,False,Innsbrucker Platz,S Ringbahn,51,tram_bus,7.97,217000,4130,234304,4460,3.4
S000056,2025-03-22,Siemensstadt,Spandau,low,52.54332,13.25791,1_room,1,35.0,5,12,1983,post_war_1949_1990,C,seitenflügel,saniert,True,True,True,False,Siemensdamm,U7,13,walk,8.64,116000,3299,124889,3563,3.3
S000057,2023-05-14,Siemensstadt,Spandau,low,52.53799,13.25708,1_room,1,20.0,7,8,1979,post_war_1949_1990,C,gartenhaus,modernisiert,True,True,False,False,Altstadt Spandau,U7,16,tram_bus,8.51,56000,2813,60767,3038,3.85
S000058,2021-10-25,Heiligensee,Reinickendorf,medium,52.61275,13.25005,1_room,1,24.1,3,4,1907,altbau_pre_1949,D,vorderhaus,renovierungsbedürftig,False,True,False,False,Voltastraße,U8,58,tram_bus,13.76,44000,1813,47152,1958,1.1
S000059,2022-12-28,Hansaviertel,Mitte,high,52.52322,13.35979,5_room_plus,5,103.8,0,4,2003,modern_1990_2010,A,vorderhaus,kernsaniert,True,False,True,False,Fehrbelliner Platz,U7,22,tram_bus,1.44,1089000,10490,1175595,11329,3.4
S000060,2025-08-28,Wartenberg,Lichtenberg,low,52.59154,13.51279,3_room,3,86.9,5,8,1956,post_war_1949_1990,D,vorderhaus,modernisiert,True,True,True,False,Kleistpark,U7,66,tram_bus,12.39,241000,2773,260378,2995,3.1
S000061,2024-12-03,Grunewald,Charlottenburg-Wilmersdorf,high,52.48381,13.2312,4_room,4,92.0,1,6,1888,altbau_pre_1949,D,vorderhaus,renovierungsbedürftig,False,True,True,False,Rathaus Spandau,U7,31,tram_bus,10.55,653000,7094,704928,7662,3.5
S000062,2024-07-17,Kaulsdorf,Marzahn-Hellersdorf,low,52.51119,13.59202,2_room,2,54.0,3,3,1977,post_war_1949_1990,E,vorderhaus,kernsaniert,False,False,True,False,Hermannplatz,U7,55,tram_bus,14.51,98000,1820,106133,1966,3.5
S000063,2025-10-10,Lichtenrade,Tempelhof-Schöneberg,low,52.39967,13.39846,4_room,4,94.0,0,12,2004,modern_1990_2010,D,vorderhaus,modernisiert,True,True,True,True,Adenauerplatz,U7,58,tram_bus,13.04,376000,3999,405874,4319,3.1
S000064,2023-08-12,Friedrichshagen,Treptow-Köpenick,medium,52.47186,13.62013,1_room,1,26.4,1,6,1994,modern_1990_2010,D,vorderhaus,modernisiert,False,True,True,False,Savignyplatz,Stadtbahn,88,tram_bus,17.14,105000,3962,113057,4279,4.1
S000065,2020-11-14,Konradshöhe,Reinickendorf,medium,52.59806,13.23226,3_room,3,86.0,2,8,1925,altbau_pre_1949,G,vorderhaus,modernisiert,False,True,True,False,Alexanderplatz,U2,70,tram_bus,13.39,259000,3007,279295,3248,1.1
S000066,2022-01-10,Malchow,Lichtenberg,low,52.57337,13.46748,2_room,2,67.4,1,3,1980,post_war_1949_1990,F,hinterhaus,kernsaniert,False,True,True,False,Brandenburger Tor S,S1,42,tram_bus,8.78,155000,2306,167805,2491,1.8
S000067,2025-07-24,Kladow,Spandau,medium,52.45154,13.12203,1_room,1,32.1,1,5,1884,altbau_pre_1949,B,vorderhaus,kernsaniert,True,False,False,True,Mexikoplatz,S1,29,tram_bus,18.75,134000,4167,144521,4501,3.1
S000068,2020-04-10,Staaken,Spandau,low,52.53684,13.13916,2_room,2,75.5,0,4,1994,modern_1990_2010,D,vorderhaus,modernisiert,True,True,False,True,Olympia-Stadion,U2,32,tram_bus,16.3,170000,2255,183789,2436,1.1
S000069,2022-07-09,Hansaviertel,Mitte,high,52.50896,13.33515,5_room_plus,5,175.9,1,6,1910,altbau_pre_1949,H,gartenhaus,kernsaniert,True,True,True,True,Sonnenallee,S Ringbahn,41,tram_bus,2.99,1657000,9419,1789312,10172,3.4
S000070,2022-12-08,Adlershof,Treptow-Köpenick,medium,52.44013,13.535,1_room,1,25.8,0,5,1899,altbau_pre_1949,G,hinterhaus,renovierungsbedürftig,False,True,True,False,Kurfürstenstraße,U1,61,tram_bus,13.61,53000,2059,57395,2224,3.4
S000071,2021-05-05,Mitte (Ort),Mitte,high,52.51444,13.41985,4_room,4,123.0,4,4,1941,altbau_pre_1949,F,gartenhaus,renoviert,False,True,True,True,Rosa-Luxemburg-Platz,U2,14,walk,2.86,671000,5457,725113,5893,1.1
S000072,2023-04-20,Pankow (Ort),Pankow,medium,52.56073,13.38489,1_room,1,29.8,1,5,1896,altbau_pre_1949,F,vorderhaus,renovierungsbedürftig,True,False,False,True,Pankow U2,U2,2,walk,4.96,113000,3799,122240,4103,3.85
S000073,2025-05-23,Pankow (Ort),Pankow,medium,52.5619,13.40387,3_room,3,105.6,0,5,1948,altbau_pre_1949,F,vorderhaus,kernsaniert,False,False,True,False,Pankow U2,U2,4,walk,5.37,577000,5466,623640,5903,3.3
S000074,2024-02-21,Falkenhagener Feld,Spandau,low,52.5568,13.20017,1_room,1,47.4,2,8,1972,post_war_1949_1990,E,vorderhaus,renovierungsbedürftig,False,False,True,False,Altstadt Spandau,U7,12,tram_bus,12.82,80000,1697,86912,1833,3.85
S000075,2023-07-05,Schöneberg,Tempelhof-Schöneberg,high,52.48497,13.3645,2_room,2,69.3,3,5,1886,altbau_pre_1949,G,vorderhaus,saniert,False,False,True,False,Innsbrucker Platz,S Ringbahn,13,tram_bus,3.6,447000,6449,482615,6965,4.1
S000076,2025-05-11,Moabit,Mitte,medium,52.53036,13.3425,4_room,4,101.3,1,3,1944,altbau_pre_1949,F,vorderhaus,renovierungsbedürftig,False,False,True,False,Adenauerplatz,U7,23,tram_bus,2.85,464000,4583,501251,4949,3.3
S000077,2022-05-12,Waidmannslust,Reinickendorf,low,52.58449,13.34614,3_room,3,87.7,2,4,1980,post_war_1949_1990,E,gartenhaus,kernsaniert,False,True,True,False,Karl-Bonhoeffer-Nervenklinik,U8,8,tram_bus,7.88,236000,2693,255068,2908,1.8
S000078,2024-08-12,Kladow,Spandau,medium,52.46014,13.13539,2_room,2,26.7,3,5,1940,altbau_pre_1949,G,vorderhaus,modernisiert,False,True,True,False,Wannsee,S1,23,tram_bus,17.55,77000,2881,82954,3111,3.5
S000079,2023-11-30,Baumschulenweg,Treptow-Köpenick,medium,52.46881,13.48458,1_room,1,42.7,5,5,1894,altbau_pre_1949,E,vorderhaus,renoviert,False,True,False,False,Ostkreuz,S Ringbahn,25,tram_bus,8.96,123000,2882,133007,3112,4.1
S000080,2020-11-05,Mahlsdorf,Marzahn-Hellersdorf,low,52.50333,13.64213,1_room,1,30.8,5,12,2019,new_post_2010,B,vorderhaus,kernsaniert,True,False,False,True,Märkisches Museum,U2,61,tram_bus,17.95,96000,3113,103496,3362,1.1
S000081,2025-10-17,Hansaviertel,Mitte,high,52.50891,13.35329,3_room,3,80.9,5,5,2010,new_post_2010,A,vorderhaus,saniert,False,True,False,False,Tiergarten S,Stadtbahn,9,walk,1.84,904000,11164,975827,12057,3.1
S000082,2025-11-02,Lübars,Reinickendorf,medium,52.61002,13.34884,2_room,2,62.1,7,8,2016,new_post_2010,A,vorderhaus,modernisiert,True,True,True,True,Berlin Hauptbahnhof,Stadtbahn,44,tram_bus,10.6,410000,6607,443299,7135,3.1
S000083,2020-03-22,Kreuzberg,Friedrichshain-Kreuzberg,high,52.50397,13.40556,1_room,1,20.0,10,12,1895,altbau_pre_1949,H,gartenhaus,saniert,True,True,True,True,Gneisenaustraße,U7,14,walk,2.33,114000,5703,123381,6160,1.1
S000084,2023-03-18,Kaulsdorf,Marzahn-Hellersdorf,low,52.51541,13.59281,2_room,2,41.2,10,12,1953,post_war_1949_1990,D,vorderhaus,kernsaniert,True,False,True,True,Tempelhof S,S Ringbahn,61,tram_bus,14.56,119000,2886,128358,3117,3.85
S000085,2021-06-12,Friedrichshagen,Treptow-Köpenick,medium,52.45101,13.62961,3_room,3,96.9,9,12,1892,altbau_pre_1949,F,vorderhaus,modernisiert,False,False,True,False,Heinrich-Heine-Straße,U8,66,tram_bus,18.54,305000,3148,329519,3400,1.1
S000086,2023-11-13,Französisch Buchholz,Pankow,medium,52.60871,13.43457,5_room_plus,5,225.7,0,8,1929,altbau_pre_1949,G,seitenflügel,kernsaniert,False,True,False,False,Boddinstraße,U8,55,tram_bus,10.97,626000,2774,676066,2996,4.1
S000087,2022-05-07,Hohenschönhausen,Lichtenberg,low,52.56302,13.52596,2_room,2,71.9,0,5,1979,post_war_1949_1990,D,hinterhaus,saniert,True,True,True,False,Ostbahnhof,Stadtbahn,38,tram_bus,11.29,204000,2834,219972,3061,1.8
S000088,2022-07-02,Schmargendorf,Charlottenburg-Wilmersdorf,high,52.46857,13.28846,3_room,3,86.8,2,6,1983,post_war_1949_1990,D,vorderhaus,saniert,True,True,True,False,Rathaus Reinickendorf,U8,52,tram_bus,8.04,531000,6112,573164,6601,3.4
S000089,2024-09-24,Falkenhagener Feld,Spandau,low,52.55141,13.19048,3_room,3,66.1,2,8,1958,post_war_1949_1990,C,vorderhaus,modernisiert,True,False,True,True,Rathaus Spandau,U7,16,tram_bus,13.25,142000,2146,153191,2318,3.5
S000090,2023-05-31,Tempelhof,Tempelhof-Schöneberg,medium,52.45319,13.39317,4_room,4,143.9,5,6,2019,new_post_2010,B,hinterhaus,kernsaniert,True,True,True,True,Blaschkoallee,U7,25,tram_bus,7.1,949000,6599,1025279,7127,3.85
S000091,2023-06-30,Alt-Treptow,Treptow-Köpenick,medium,52.48958,13.43219,4_room,4,159.2,0,4,2005,modern_1990_2010,H,hinterhaus,kernsaniert,True,True,True,False,Schönleinstraße,U8,14,tram_bus,4.74,625000,3928,675282,4242,3.85
S000092,2021-05-31,Britz,Neukölln,low,52.44112,13.4376,1_room,1,30.3,1,5,1990,modern_1990_2010,B,vorderhaus,kernsaniert,True,False,True,False,Blaschkoallee,U7,12,walk,9.29,114000,3749,122877,4049,1.1
S000093,2021-09-03,Kladow,Spandau,medium,52.46014,13.14147,2_room,2,41.0,3,4,2005,modern_1990_2010,C,hinterhaus,saniert,True,True,False,True,Schlachtensee,S1,28,tram_bus,17.17,132000,3213,142099,3470,1.1
S000094,2022-02-20,Kreuzberg,Friedrichshain-Kreuzberg,high,52.50123,13.41878,2_room,2,71.3,3,4,1910,altbau_pre_1949,H,seitenflügel,renovierungsbedürftig,False,False,True,False,Moritzplatz,U8,11,walk,3.25,256000,3584,276010,3870,1.8
S000095,2020-08-13,Borsigwalde,Reinickendorf,low,52.58647,13.28922,2_room,2,42.9,2,4,1912,altbau_pre_1949,G,gartenhaus,kernsaniert,False,True,True,True,Wittenau U,U8,17,tram_bus,9.83,98000,2292,106277,2475,1.1
S000096,2023-12-31,Französisch Buchholz,Pankow,medium,52.59302,13.43246,1_room,1,39.6,2,6,1993,modern_1990_2010,E,hinterhaus,kernsaniert,True,True,False,False,Senefelderplatz,U2,31,tram_bus,9.3,150000,3797,162455,4100,4.1
S000097,2025-12-08,Grunewald,Charlottenburg-Wilmersdorf,high,52.49302,13.25121,4_room,4,136.4,1,8,1970,post_war_1949_1990,F,hinterhaus,saniert,True,True,True,False,Westhafen,S Ringbahn,42,tram_bus,8.94,963000,7055,1039527,7620,3.1
S000098,2024-11-24,Hermsdorf,Reinickendorf,medium,52.61182,13.30824,3_room,3,81.2,3,4,1999,modern_1990_2010,D,gartenhaus,kernsaniert,True,True,True,False,Beusselstraße,S Ringbahn,46,tram_bus,11.61,374000,4609,404307,4978,3.5
S000099,2024-12-25,Haselhorst,Spandau,low,52.54077,13.24328,2_room,2,40.8,7,8,1996,modern_1990_2010,C,seitenflügel,renovierungsbedürftig,True,True,True,False,Alexanderplatz,U2,56,tram_bus,9.49,93000,2290,100943,2473,3.5
S000100,2024-09-30,Schöneberg,Tempelhof-Schöneberg,high,52.47057,13.36004,3_room,3,99.0,0,3,2000,modern_1990_2010,E,hinterhaus,kernsaniert,True,True,False,True,Alexanderplatz S,Stadtbahn,27,tram_bus,5.22,521000,5261,562280,5681,3.5
S000101,2024-01-08,Charlottenburg,Charlottenburg-Wilmersdorf,high,52.51676,13.29916,4_room,4,120.2,0,5,1967,post_war_1949_1990,D,hinterhaus,kernsaniert,True,True,True,False,Richard-Wagner-Platz,U7,13,walk,5.31,609000,5062,657226,5467,3.85
S000102,2020-11-03,Grunewald,Charlottenburg-Wilmersdorf,high,52.47735,13.24783,2_room,2,52.0,1,12,1882,altbau_pre_1949,G,seitenflügel,kernsaniert,False,False,True,False,Bismarckstraße,U7,22,tram_bus,9.8,296000,5679,319200,6133,1.1
S000103,2021-01-27,Hansaviertel,Mitte,high,52.51335,13.33881,4_room,4,117.4,3,4,1994,modern_1990_2010,C,seitenflügel,kernsaniert,True,False,True,True,Halemweg,U7,29,tram_bus,2.65,1202000,10237,1298576,11056,1.1
