id,date_listed,ortsteil,bezirk,kiez_premium,lat,lon,property_type,rooms,area_m2,floor,total_floors,building_era,energy_class,position,condition,has_lift,has_balcony,furnished,transit_station,transit_line,transit_distance_min,to_brandenburg_gate_km,kaltmiete_eur_monthly,nebenkosten_eur_monthly,warmmiete_eur_monthly,rent_per_m2_kalt_eur,rent_includes_warmmiete,kaution_months,warmmiete_eur_monthly_usd
R000032,2024-05-21,Baumschulenweg,Treptow-Köpenick,medium,52.4637,13.49067,3_room,3,96.4,0,5,post_war_1949_1990,E,seitenflügel,renovierungsbedürftig,False,True,False,Warschauer Straße,U1,60,9.63,817,286,1103,8.48,False,3,1191
R000033,2022-07-11,Moabit,Mitte,medium,52.52095,13.3622,1_room,1,31.6,4,4,altbau_pre_1949,F,gartenhaus,saniert,False,True,False,Mierendorffplatz,U7,33,1.17,571,107,678,18.09,False,1,732
R000034,2025-10-30,Mitte (Ort),Mitte,high,52.51987,13.40234,5_room_plus,5,127.3,0,6,new_post_2010,A,vorderhaus,modernisiert,True,False,False,Alexanderplatz,U2,10,1.71,5604,442,6047,44.02,False,3,6530
R000035,2020-01-15,Konradshöhe,Reinickendorf,medium,52.58559,13.22798,1_room,1,38.5,4,4,post_war_1949_1990,E,seitenflügel,modernisiert,True,False,False,Görlitzer Bahnhof,U1,218,12.72,294,146,440,7.65,False,3,475
R000036,2025-03-29,Lankwitz,Steglitz-Zehlendorf,medium,52.44464,13.35412,2_room,2,52.5,0,3,altbau_pre_1949,F,vorderhaus,kernsaniert,False,True,False,Botanischer Garten,S1,32,8.13,921,174,1095,17.55,False,3,1183
R000037,2022-04-06,Niederschönhausen,Pankow,medium,52.57232,13.41323,3_room,3,117.3,3,3,post_war_1949_1990,D,hinterhaus,renovierungsbedürftig,False,True,True,Spittelmarkt,U2,84,6.68,901,392,1293,7.68,False,2,1396
R000038,2020-01-16,Lichtenrade,Tempelhof-Schöneberg,low,52.40578,13.39543,1_room,1,36.9,5,5,post_war_1949_1990,H,vorderhaus,renovierungsbedürftig,False,True,False,Lipschitzallee,U7,67,12.35,219,113,331,5.93,False,3,358
R000039,2024-08-19,Hansaviertel,Mitte,high,52.52038,13.35066,3_room,3,97.0,1,4,post_war_1949_1990,F,gartenhaus,kernsaniert,False,False,False,Alexanderplatz,U2,57,1.89,1953,354,2307,20.13,False,3,2491
R000040,2020-05-01,Gatow,Spandau,medium,52.4787,13.17431,2_room,2,67.4,5,6,post_war_1949_1990,G,gartenhaus,modernisiert,True,False,False,Jakob-Kaiser-Platz,U7,123,14.39,313,182,496,4.65,False,1,535
R000041,2022-12-09,Kreuzberg,Friedrichshain-Kreuzberg,high,52.5076,13.4021,1_room,1,31.7,3,5,post_war_1949_1990,E,vorderhaus,modernisiert,True,False,False,Schönleinstraße,U8,22,1.91,702,159,861,22.16,True,3,930
R000042,2021-02-03,Hellersdorf,Marzahn-Hellersdorf,low,52.53314,13.61814,2_room,2,62.4,7,8,post_war_1949_1990,F,vorderhaus,saniert,True,False,False,Schlesisches Tor,U1,141,16.37,286,166,452,4.59,False,2,489
R000043,2024-07-01,Tegel,Reinickendorf,medium,52.57489,13.29047,3_room,3,79.8,3,3,modern_1990_2010,A,vorderhaus,modernisiert,False,False,False,Pankstraße,U8,97,8.79,1283,205,1487,16.07,False,3,1606
R000044,2024-05-23,Alt-Treptow,Treptow-Köpenick,medium,52.48847,13.45123,2_room,2,48.3,2,4,altbau_pre_1949,F,vorderhaus,modernisiert,False,True,False,Schlesisches Tor,U1,14,5.86,730,156,886,15.1,False,2,957
R000045,2021-04-12,Gesundbrunnen,Mitte,medium,52.54902,13.38196,1_room,1,31.8,0,4,altbau_pre_1949,H,vorderhaus,saniert,False,True,False,Bundesplatz,S Ringbahn,111,3.65,294,84,378,9.23,False,3,408
R000046,2023-04-30,Lichtenberg (Ort),Lichtenberg,medium,52.50616,13.49901,3_room,3,81.2,4,4,post_war_1949_1990,C,hinterhaus,renoviert,True,False,False,Beusselstraße,S Ringbahn,137,8.29,757,355,1112,9.33,True,2,1201
R000047,2023-05-10,Gropiusstadt,Neukölln,low,52.41952,13.46455,2_room,2,58.4,3,6,altbau_pre_1949,H,seitenflügel,kernsaniert,False,True,False,Lipschitzallee,U7,5,12.26,541,268,808,9.26,False,3,873
R000048,2022-06-04,Schmöckwitz,Treptow-Köpenick,medium,52.38123,13.66525,1_room,1,44.6,2,8,post_war_1949_1990,D,hinterhaus,modernisiert,True,True,False,Kottbusser Tor,U1,253,24.6,377,112,489,8.45,False,1,528
R000049,2024-10-18,Charlottenburg,Charlottenburg-Wilmersdorf,high,52.51773,13.30426,3_room,3,96.3,4,4,modern_1990_2010,G,vorderhaus,modernisiert,False,False,True,Spittelmarkt,U2,82,4.97,1871,344,2215,19.44,True,2,2392
R000050,2025-08-16,Köpenick (Ort),Treptow-Köpenick,medium,52.44322,13.56791,2_room,2,53.2,2,4,post_war_1949_1990,F,vorderhaus,saniert,False,True,False,Kottbusser Tor,U1,147,15.23,634,171,805,11.92,False,3,869
R000051,2022-02-09,Tiergarten,Mitte,high,52.51048,13.34626,3_room,3,92.9,4,4,new_post_2010,A,hinterhaus,saniert,True,True,False,Brandenburger Tor S,S1,23,2.22,2012,336,2348,21.66,True,3,2536
R000052,2020-02-15,Hellersdorf,Marzahn-Hellersdorf,low,52.53658,13.60906,2_room,2,55.6,1,4,modern_1990_2010,E,vorderhaus,kernsaniert,True,False,False,Sundgauer Straße,S1,299,15.81,252,204,456,4.54,False,2,493
R000053,2022-07-03,Französisch Buchholz,Pankow,medium,52.60007,13.42935,2_room,2,60.1,2,3,altbau_pre_1949,F,seitenflügel,kernsaniert,False,True,False,Schönhauser Allee,S Ringbahn,71,9.95,589,225,814,9.8,True,3,879
R000054,2020-07-21,Friedenau,Tempelhof-Schöneberg,high,52.47339,13.31947,5_room_plus,5,151.6,2,6,post_war_1949_1990,G,vorderhaus,saniert,True,False,False,Friedenau S,S1,5,6.19,1651,583,2234,10.89,False,3,2413
R000055,2023-02-23,Siemensstadt,Spandau,low,52.53049,13.25863,1_room,1,35.5,2,4,altbau_pre_1949,H,vorderhaus,renovierungsbedürftig,False,False,True,Bundesplatz,S Ringbahn,107,8.21,329,143,473,9.26,False,1,510
R000056,2024-03-23,Neukölln (Ort),Neukölln,medium,52.48118,13.44999,3_room,3,90.5,6,6,modern_1990_2010,B,vorderhaus,renovierungsbedürftig,True,True,False,Warschauer Straße,U1,38,6.26,1689,264,1952,18.65,True,3,2109
R000057,2025-09-13,Schmöckwitz,Treptow-Köpenick,medium,52.37403,13.66222,2_room,2,55.5,5,5,altbau_pre_1949,F,hinterhaus,renovierungsbedürftig,True,False,False,Möckernbrücke,U1,273,24.94,553,200,753,9.97,True,3,813
R000058,2023-01-04,Kladow,Spandau,medium,52.45998,13.13303,3_room,3,75.6,2,3,post_war_1949_1990,E,vorderhaus,modernisiert,False,True,False,Wannsee,S1,52,17.71,736,269,1005,9.74,False,2,1085
R000059,2022-04-18,Friedrichshain,Friedrichshain-Kreuzberg,high,52.51013,13.45963,1_room,1,28.3,0,5,altbau_pre_1949,F,vorderhaus,renovierungsbedürftig,True,True,True,Franz-Neumann-Platz,U8,97,5.59,688,92,779,24.33,True,3,842
R000060,2021-07-29,Kaulsdorf,Marzahn-Hellersdorf,low,52.50553,13.59541,2_room,2,66.8,2,4,post_war_1949_1990,D,hinterhaus,saniert,False,True,False,Mendelssohn-Bartholdy,U2,182,14.78,368,237,605,5.5,False,3,653
R000061,2021-02-23,Wartenberg,Lichtenberg,low,52.5896,13.49874,1_room,1,32.8,0,5,post_war_1949_1990,F,vorderhaus,saniert,True,True,False,Lipschitzallee,U7,215,11.55,164,115,279,5.0,True,1,301
R000062,2021-07-01,Falkenhagener Feld,Spandau,low,52.55224,13.17044,4_room,4,67.2,2,5,new_post_2010,C,hinterhaus,modernisiert,True,True,True,Friedenau S,S1,163,14.58,437,195,632,6.51,True,3,682
R000063,2024-04-16,Alt-Treptow,Treptow-Köpenick,medium,52.49255,13.4429,2_room,2,49.5,4,5,new_post_2010,B,vorderhaus,renoviert,True,True,False,Kottbusser Tor U8,U8,28,5.14,798,196,994,16.14,False,3,1074
R000064,2024-12-03,Gesundbrunnen,Mitte,medium,52.54267,13.39473,4_room,4,110.4,0,4,post_war_1949_1990,D,hinterhaus,kernsaniert,True,False,False,Kottbusser Tor U8,U8,72,3.15,1489,281,1770,13.48,False,3,1912
R000065,2021-12-10,Lübars,Reinickendorf,medium,52.61051,13.36538,4_room,4,144.3,3,5,post_war_1949_1990,E,vorderhaus,renovierungsbedürftig,True,True,True,Wittenau U,U8,37,10.51,1039,575,1614,7.21,False,2,1743
R000066,2021-03-25,Mitte (Ort),Mitte,high,52.51596,13.41568,3_room,3,75.8,1,4,post_war_1949_1990,C,vorderhaus,renoviert,True,False,False,Kurfürstenstraße,U1,45,2.57,1438,216,1654,18.98,False,3,1786
R000067,2022-11-07,Frohnau,Reinickendorf,medium,52.62892,13.2808,4_room,4,140.3,2,3,post_war_1949_1990,D,vorderhaus,saniert,False,False,False,Kottbusser Tor U8,U8,207,14.13,1266,475,1741,9.02,True,3,1880
R000068,2026-01-10,Tegel,Reinickendorf,medium,52.58605,13.30215,3_room,3,95.0,3,5,altbau_pre_1949,F,hinterhaus,kernsaniert,False,True,False,Friedrichstraße,Stadtbahn,116,9.29,1231,258,1489,12.96,False,2,1608
R000069,2024-04-23,Lichterfelde,Steglitz-Zehlendorf,medium,52.43028,13.30704,3_room,3,66.2,3,4,post_war_1949_1990,D,hinterhaus,renoviert,False,True,False,Rohrdamm,U7,152,10.7,1058,167,1224,15.99,False,3,1322
R000070,2024-06-25,Malchow,Lichtenberg,low,52.57717,13.47616,1_room,1,30.3,5,5,modern_1990_2010,D,vorderhaus,kernsaniert,True,True,False,Bismarckstraße,U7,164,9.49,268,113,381,8.86,False,2,412
R000071,2024-03-13,Lichtenrade,Tempelhof-Schöneberg,low,52.40106,13.40115,3_room,3,85.0,1,4,altbau_pre_1949,G,vorderhaus,modernisiert,False,True,True,Parchimer Allee,U7,81,12.91,810,217,1027,9.53,False,3,1109
R000072,2025-02-25,Rummelsburg,Lichtenberg,medium,52.50626,13.48839,2_room,2,50.6,0,5,altbau_pre_1949,G,vorderhaus,modernisiert,True,False,False,Brandenburger Tor S,S1,93,7.57,569,155,724,11.23,True,3,782
R000073,2021-08-14,Steglitz,Steglitz-Zehlendorf,medium,52.45421,13.33339,3_room,3,103.0,3,4,post_war_1949_1990,C,gartenhaus,kernsaniert,True,True,False,Halensee S,S Ringbahn,63,7.53,1274,292,1566,12.37,False,3,1691
R000074,2025-05-20,Charlottenburg-Nord,Charlottenburg-Wilmersdorf,medium,52.53612,13.28905,3_room,3,87.7,3,5,post_war_1949_1990,F,hinterhaus,kernsaniert,True,True,True,Jungfernheide S,S Ringbahn,4,6.39,1489,301,1790,16.98,True,1,1933
R000075,2021-05-18,Marienfelde,Tempelhof-Schöneberg,low,52.41181,13.37716,3_room,3,98.1,1,4,altbau_pre_1949,F,hinterhaus,kernsaniert,False,False,False,Rohrdamm,U7,196,11.62,810,313,1123,8.26,False,3,1213
R000076,2026-01-19,Niederschönhausen,Pankow,medium,52.58489,13.41063,4_room,4,51.6,2,5,post_war_1949_1990,H,vorderhaus,kernsaniert,True,True,True,Westhafen,S Ringbahn,75,7.95,485,144,629,9.4,False,2,680
R000077,2024-12-16,Konradshöhe,Reinickendorf,medium,52.60269,13.22858,3_room,3,103.2,0,5,altbau_pre_1949,G,vorderhaus,renoviert,True,False,True,Kleistpark,U7,191,13.92,1242,350,1592,12.03,True,3,1719
R000078,2022-08-05,Französisch Buchholz,Pankow,medium,52.60119,13.4096,1_room,1,40.9,1,5,altbau_pre_1949,G,vorderhaus,kernsaniert,False,False,True,Rathaus Reinickendorf,U8,86,9.68,410,186,596,10.01,False,2,643
R000079,2023-05-22,Lichterfelde,Steglitz-Zehlendorf,medium,52.4177,13.29358,1_room,1,20.0,1,3,post_war_1949_1990,D,vorderhaus,renovierungsbedürftig,False,True,False,Richard-Wagner-Platz,U7,123,12.36,330,88,418,16.52,False,2,451
R000080,2023-09-21,Lichterfelde,Steglitz-Zehlendorf,medium,52.42928,13.30652,2_room,2,62.1,3,5,altbau_pre_1949,D,seitenflügel,modernisiert,False,True,False,Lichterfelde West,S1,21,10.81,1161,270,1431,18.69,False,2,1545
R000081,2021-11-16,Marzahn,Marzahn-Hellersdorf,low,52.53647,13.56041,4_room,4,131.9,5,6,post_war_1949_1990,E,vorderhaus,modernisiert,True,True,True,Tiergarten S,Stadtbahn,173,12.56,649,413,1061,4.92,True,3,1146
R000082,2020-07-19,Friedrichshagen,Treptow-Köpenick,medium,52.45433,13.63132,2_room,2,38.7,1,5,post_war_1949_1990,E,vorderhaus,modernisiert,False,False,True,Schlesisches Tor,U1,164,18.5,307,125,433,7.94,False,3,467
R000083,2021-08-02,Niederschönhausen,Pankow,medium,52.5783,13.39788,2_room,2,58.4,2,5,post_war_1949_1990,D,vorderhaus,modernisiert,True,True,False,Bernauer Straße,U8,53,7.03,582,174,756,9.97,False,2,816
R000084,2021-07-17,Reinickendorf (Ort),Reinickendorf,low,52.56418,13.34599,5_room_plus,5,145.8,1,3,post_war_1949_1990,C,vorderhaus,modernisiert,False,True,False,Karl-Bonhoeffer-Nervenklinik,U8,28,5.74,1246,437,1683,8.55,False,3,1818
R000085,2024-08-27,Borsigwalde,Reinickendorf,low,52.60076,13.28887,2_room,2,56.0,6,6,new_post_2010,A_plus,seitenflügel,kernsaniert,True,True,False,Rathaus Reinickendorf,U8,30,11.15,718,143,862,12.82,False,1,930
R000086,2022-12-16,Mitte (Ort),Mitte,high,52.52019,13.41546,1_room,1,38.8,6,6,modern_1990_2010,D,gartenhaus,modernisiert,False,False,False,Nollendorfplatz,U1,51,2.59,683,180,863,17.63,False,3,932
R000087,2020-07-30,Hohenschönhausen,Lichtenberg,low,52.56186,13.50151,3_room,3,96.6,4,4,new_post_2010,D,seitenflügel,saniert,True,True,False,Westhafen,S Ringbahn,137,9.79,857,297,1153,8.87,False,3,1246
R000088,2021-08-25,Lichtenberg (Ort),Lichtenberg,medium,52.51581,13.49933,3_room,3,81.9,3,5,post_war_1949_1990,B,seitenflügel,saniert,False,True,False,Kottbusser Tor U8,U8,68,8.23,803,242,1045,9.81,True,3,1129
R000089,2023-08-18,Kladow,Spandau,medium,52.44868,13.13781,3_room,3,107.1,3,8,altbau_pre_1949,F,hinterhaus,modernisiert,False,True,False,Mexikoplatz,S1,73,17.9,959,395,1354,8.96,True,3,1463
R000090,2021-07-30,Märkisches Viertel,Reinickendorf,low,52.60204,13.34244,4_room,4,122.4,3,6,post_war_1949_1990,E,vorderhaus,modernisiert,True,False,False,Franz-Neumann-Platz,U8,59,9.83,1127,337,1464,9.21,False,2,1581
R000091,2023-03-02,Friedrichshain,Friedrichshain-Kreuzberg,high,52.52376,13.4582,3_room,3,106.2,4,4,new_post_2010,D,hinterhaus,saniert,False,False,False,Pankstraße,U8,69,5.51,2445,505,2949,23.01,False,3,3185
R000092,2022-09-29,Kreuzberg,Friedrichshain-Kreuzberg,high,52.49378,13.41365,2_room,2,57.7,4,5,altbau_pre_1949,D,vorderhaus,saniert,False,False,False,Spittelmarkt,U2,17,3.49,1263,265,1527,21.87,False,3,1650
R000093,2023-06-20,Mahlsdorf,Marzahn-Hellersdorf,low,52.5014,13.62455,3_room,3,96.0,3,4,post_war_1949_1990,G,vorderhaus,renoviert,False,False,False,Berlin Hauptbahnhof,Stadtbahn,208,16.79,451,357,808,4.7,True,2,873
R000094,2022-10-12,Hermsdorf,Reinickendorf,medium,52.61409,13.29715,1_room,1,28.0,1,3,modern_1990_2010,C,vorderhaus,modernisiert,True,False,True,Bülowstraße,U2,161,12.16,328,151,479,11.72,False,3,517
R000095,2022-07-06,Treptow,Treptow-Köpenick,medium,52.48487,13.45575,5_room_plus,5,208.1,4,4,post_war_1949_1990,H,vorderhaus,saniert,True,True,False,Warschauer Straße,U1,28,6.33,1476,907,2383,7.09,False,3,2573
R000096,2024-09-02,Buch,Pankow,low,52.64041,13.50579,3_room,3,124.5,1,3,altbau_pre_1949,H,vorderhaus,modernisiert,False,False,False,Uhlandstraße,U1,227,16.29,1029,323,1353,8.27,True,2,1461
R000097,2020-03-24,Wartenberg,Lichtenberg,low,52.58976,13.51021,2_room,2,75.0,1,6,modern_1990_2010,A_plus,vorderhaus,renovierungsbedürftig,True,False,False,Zehlendorf S,S1,294,12.12,567,267,834,7.56,False,3,901
R000098,2022-01-22,Mariendorf,Tempelhof-Schöneberg,medium,52.44282,13.4046,2_room,2,60.8,4,6,altbau_pre_1949,F,vorderhaus,modernisiert,False,True,False,Lipschitzallee,U7,66,8.37,587,182,769,9.66,False,3,831
R000099,2022-05-03,Britz,Neukölln,low,52.44601,13.4684,4_room,4,111.9,2,5,altbau_pre_1949,G,gartenhaus,kernsaniert,False,True,True,Blaschkoallee,U7,13,9.94,1070,419,1489,9.56,False,3,1608
R000100,2025-09-29,Heiligensee,Reinickendorf,medium,52.62188,13.23325,1_room,1,45.9,2,6,post_war_1949_1990,D,hinterhaus,modernisiert,False,True,False,Warschauer Straße S,Stadtbahn,233,15.27,366,175,541,7.96,False,1,584
R000101,2022-07-14,Hohenschönhausen,Lichtenberg,low,52.55848,13.48832,3_room,3,68.3,2,3,post_war_1949_1990,G,vorderhaus,modernisiert,False,True,False,Lichterfelde West,S1,255,8.83,442,232,673,6.47,True,3,727
R000102,2023-03-18,Rudow,Neukölln,low,52.42686,13.48451,2_room,2,56.4,3,5,modern_1990_2010,B,hinterhaus,renovierungsbedürftig,False,True,False,Rudow,U7,2,12.3,733,242,974,12.99,True,2,1052
R000103,2020-05-16,Karow,Pankow,low,52.62157,13.48391,2_room,2,51.1,0,4,post_war_1949_1990,E,hinterhaus,modernisiert,False,False,True,Franz-Neumann-Platz,U8,117,13.73,304,186,490,5.96,True,2,530
R000104,2021-02-02,Haselhorst,Spandau,low,52.55512,13.23912,4_room,4,112.9,1,5,modern_1990_2010,D,vorderhaus,renoviert,True,True,False,Savignyplatz,Stadtbahn,89,10.32,699,419,1118,6.19,False,3,1208
R000105,2023-04-12,Malchow,Lichtenberg,low,52.56168,13.4673,2_room,2,44.5,3,3,altbau_pre_1949,F,gartenhaus,renoviert,False,True,False,Spittelmarkt,U2,105,7.89,354,239,593,7.96,True,3,641
R000106,2022-09-14,Schmöckwitz,Treptow-Köpenick,medium,52.37346,13.64297,2_room,2,58.5,0,4,post_war_1949_1990,B,vorderhaus,renoviert,True,False,True,Schlesisches Tor,U1,241,23.99,623,211,834,10.65,True,3,901
R000107,2022-11-30,Heiligensee,Reinickendorf,medium,52.62475,13.23188,1_room,1,36.5,0,3,post_war_1949_1990,C,seitenflügel,kernsaniert,False,True,True,Rosenthaler Platz,U8,183,15.57,333,141,475,9.13,False,1,513
R000108,2024-06-27,Friedenau,Tempelhof-Schöneberg,high,52.47968,13.34281,2_room,2,80.8,1,5,post_war_1949_1990,D,seitenflügel,modernisiert,True,True,True,Friedenau S,S1,1,4.71,1601,283,1884,19.82,True,3,2035
R000109,2022-03-15,Karlshorst,Lichtenberg,medium,52.48951,13.5227,1_room,1,28.2,3,5,new_post_2010,B,gartenhaus,renovierungsbedürftig,False,True,False,Hermannstraße,U8,85,10.26,401,87,488,14.21,True,2,527
R000110,2025-12-24,Märkisches Viertel,Reinickendorf,low,52.59299,13.33539,4_room,4,125.1,3,6,new_post_2010,C,vorderhaus,saniert,True,True,False,Westkreuz,S Ringbahn,148,8.99,1529,459,1987,12.22,True,3,2146
