id,date_listed,year,month,year_month,ortsteil,bezirk,kiez_premium,property_type,rooms,area_m2,floor,total_floors,building_era,energy_class,has_lift,has_balcony,furnished,to_brandenburg_gate_km,kaltmiete_eur_monthly,nebenkosten_eur_monthly,warmmiete_eur_monthly,rent_per_m2_kalt_eur
R000040,2020-05-01,2020,5,2020-05,Gatow,Spandau,medium,2_room,2,67.4,5,6,post_war_1949_1990,G,True,False,False,14.39,313,182,496,4.65
R000041,2022-12-09,2022,12,2022-12,Kreuzberg,Friedrichshain-Kreuzberg,high,1_room,1,31.7,3,5,post_war_1949_1990,E,True,False,False,1.91,702,159,861,22.16
R000042,2021-02-03,2021,2,2021-02,Hellersdorf,Marzahn-Hellersdorf,low,2_room,2,62.4,7,8,post_war_1949_1990,F,True,False,False,16.37,286,166,452,4.59
R000043,2024-07-01,2024,7,2024-07,Tegel,Reinickendorf,medium,3_room,3,79.8,3,3,modern_1990_2010,A,False,False,False,8.79,1283,205,1487,16.07
R000044,2024-05-23,2024,5,2024-05,Alt-Treptow,Treptow-Köpenick,medium,2_room,2,48.3,2,4,altbau_pre_1949,F,False,True,False,5.86,730,156,886,15.1
R000045,2021-04-12,2021,4,2021-04,Gesundbrunnen,Mitte,medium,1_room,1,31.8,0,4,altbau_pre_1949,H,False,True,False,3.65,294,84,378,9.23
R000046,2023-04-30,2023,4,2023-04,Lichtenberg (Ort),Lichtenberg,medium,3_room,3,81.2,4,4,post_war_1949_1990,C,True,False,False,8.29,757,355,1112,9.33
R000047,2023-05-10,2023,5,2023-05,Gropiusstadt,Neukölln,low,2_room,2,58.4,3,6,altbau_pre_1949,H,False,True,False,12.26,541,268,808,9.26
R000048,2022-06-04,2022,6,2022-06,Schmöckwitz,Treptow-Köpenick,medium,1_room,1,44.6,2,8,post_war_1949_1990,D,True,True,False,24.6,377,112,489,8.45
R000049,2024-10-18,2024,10,2024-10,Charlottenburg,Charlottenburg-Wilmersdorf,high,3_room,3,96.3,4,4,modern_1990_2010,G,False,False,True,4.97,1871,344,2215,19.44
R000050,2025-08-16,2025,8,2025-08,Köpenick (Ort),Treptow-Köpenick,medium,2_room,2,53.2,2,4,post_war_1949_1990,F,False,True,False,15.23,634,171,805,11.92
R000051,2022-02-09,2022,2,2022-02,Tiergarten,Mitte,high,3_room,3,92.9,4,4,new_post_2010,A,True,True,False,2.22,2012,336,2348,21.66
R000052,2020-02-15,2020,2,2020-02,Hellersdorf,Marzahn-Hellersdorf,low,2_room,2,55.6,1,4,modern_1990_2010,E,True,False,False,15.81,252,204,456,4.54
R000053,2022-07-03,2022,7,2022-07,Französisch Buchholz,Pankow,medium,2_room,2,60.1,2,3,altbau_pre_1949,F,False,True,False,9.95,589,225,814,9.8
R000054,2020-07-21,2020,7,2020-07,Friedenau,Tempelhof-Schöneberg,high,5_room_plus,5,151.6,2,6,post_war_1949_1990,G,True,False,False,6.19,1651,583,2234,10.89
R000055,2023-02-23,2023,2,2023-02,Siemensstadt,Spandau,low,1_room,1,35.5,2,4,altbau_pre_1949,H,False,False,True,8.21,329,143,473,9.26
R000056,2024-03-23,2024,3,2024-03,Neukölln (Ort),Neukölln,medium,3_room,3,90.5,6,6,modern_1990_2010,B,True,True,False,6.26,1689,264,1952,18.65
R000057,2025-09-13,2025,9,2025-09,Schmöckwitz,Treptow-Köpenick,medium,2_room,2,55.5,5,5,altbau_pre_1949,F,True,False,False,24.94,553,200,753,9.97
R000058,2023-01-04,2023,1,2023-01,Kladow,Spandau,medium,3_room,3,75.6,2,3,post_war_1949_1990,E,False,True,False,17.71,736,269,1005,9.74
R000059,2022-04-18,2022,4,2022-04,Friedrichshain,Friedrichshain-Kreuzberg,high,1_room,1,28.3,0,5,altbau_pre_1949,F,True,True,True,5.59,688,92,779,24.33
R000060,2021-07-29,2021,7,2021-07,Kaulsdorf,Marzahn-Hellersdorf,low,2_room,2,66.8,2,4,post_war_1949_1990,D,False,True,False,14.78,368,237,605,5.5
R000061,2021-02-23,2021,2,2021-02,Wartenberg,Lichtenberg,low,1_room,1,32.8,0,5,post_war_1949_1990,F,True,True,False,11.55,164,115,279,5.0
R000062,2021-07-01,2021,7,2021-07,Falkenhagener Feld,Spandau,low,4_room,4,67.2,2,5,new_post_2010,C,True,True,True,14.58,437,195,632,6.51
R000063,2024-04-16,2024,4,2024-04,Alt-Treptow,Treptow-Köpenick,medium,2_room,2,49.5,4,5,new_post_2010,B,True,True,False,5.14,798,196,994,16.14
R000064,2024-12-03,2024,12,2024-12,Gesundbrunnen,Mitte,medium,4_room,4,110.4,0,4,post_war_1949_1990,D,True,False,False,3.15,1489,281,1770,13.48
R000065,2021-12-10,2021,12,2021-12,Lübars,Reinickendorf,medium,4_room,4,144.3,3,5,post_war_1949_1990,E,True,True,True,10.51,1039,575,1614,7.21
R000066,2021-03-25,2021,3,2021-03,Mitte (Ort),Mitte,high,3_room,3,75.8,1,4,post_war_1949_1990,C,True,False,False,2.57,1438,216,1654,18.98
R000067,2022-11-07,2022,11,2022-11,Frohnau,Reinickendorf,medium,4_room,4,140.3,2,3,post_war_1949_1990,D,False,False,False,14.13,1266,475,1741,9.02
R000068,2026-01-10,2026,1,2026-01,Tegel,Reinickendorf,medium,3_room,3,95.0,3,5,altbau_pre_1949,F,False,True,False,9.29,1231,258,1489,12.96
R000069,2024-04-23,2024,4,2024-04,Lichterfelde,Steglitz-Zehlendorf,medium,3_room,3,66.2,3,4,post_war_1949_1990,D,False,True,False,10.7,1058,167,1224,15.99
R000070,2024-06-25,2024,6,2024-06,Malchow,Lichtenberg,low,1_room,1,30.3,5,5,modern_1990_2010,D,True,True,False,9.49,268,113,381,8.86
R000071,2024-03-13,2024,3,2024-03,Lichtenrade,Tempelhof-Schöneberg,low,3_room,3,85.0,1,4,altbau_pre_1949,G,False,True,True,12.91,810,217,1027,9.53
R000072,2025-02-25,2025,2,2025-02,Rummelsburg,Lichtenberg,medium,2_room,2,50.6,0,5,altbau_pre_1949,G,True,False,False,7.57,569,155,724,11.23
R000073,2021-08-14,2021,8,2021-08,Steglitz,Steglitz-Zehlendorf,medium,3_room,3,103.0,3,4,post_war_1949_1990,C,True,True,False,7.53,1274,292,1566,12.37
R000074,2025-05-20,2025,5,2025-05,Charlottenburg-Nord,Charlottenburg-Wilmersdorf,medium,3_room,3,87.7,3,5,post_war_1949_1990,F,True,True,True,6.39,1489,301,1790,16.98
R000075,2021-05-18,2021,5,2021-05,Marienfelde,Tempelhof-Schöneberg,low,3_room,3,98.1,1,4,altbau_pre_1949,F,False,False,False,11.62,810,313,1123,8.26
R000076,2026-01-19,2026,1,2026-01,Niederschönhausen,Pankow,medium,4_room,4,51.6,2,5,post_war_1949_1990,H,True,True,True,7.95,485,144,629,9.4
R000077,2024-12-16,2024,12,2024-12,Konradshöhe,Reinickendorf,medium,3_room,3,103.2,0,5,altbau_pre_1949,G,True,False,True,13.92,1242,350,1592,12.03
R000078,2022-08-05,2022,8,2022-08,Französisch Buchholz,Pankow,medium,1_room,1,40.9,1,5,altbau_pre_1949,G,False,False,True,9.68,410,186,596,10.01
R000079,2023-05-22,2023,5,2023-05,Lichterfelde,Steglitz-Zehlendorf,medium,1_room,1,20.0,1,3,post_war_1949_1990,D,False,True,False,12.36,330,88,418,16.52
R000080,2023-09-21,2023,9,2023-09,Lichterfelde,Steglitz-Zehlendorf,medium,2_room,2,62.1,3,5,altbau_pre_1949,D,False,True,False,10.81,1161,270,1431,18.69
R000081,2021-11-16,2021,11,2021-11,Marzahn,Marzahn-Hellersdorf,low,4_room,4,131.9,5,6,post_war_1949_1990,E,True,True,True,12.56,649,413,1061,4.92
R000082,2020-07-19,2020,7,2020-07,Friedrichshagen,Treptow-Köpenick,medium,2_room,2,38.7,1,5,post_war_1949_1990,E,False,False,True,18.5,307,125,433,7.94
R000083,2021-08-02,2021,8,2021-08,Niederschönhausen,Pankow,medium,2_room,2,58.4,2,5,post_war_1949_1990,D,True,True,False,7.03,582,174,756,9.97
R000084,2021-07-17,2021,7,2021-07,Reinickendorf (Ort),Reinickendorf,low,5_room_plus,5,145.8,1,3,post_war_1949_1990,C,False,True,False,5.74,1246,437,1683,8.55
R000085,2024-08-27,2024,8,2024-08,Borsigwalde,Reinickendorf,low,2_room,2,56.0,6,6,new_post_2010,A_plus,True,True,False,11.15,718,143,862,12.82
R000086,2022-12-16,2022,12,2022-12,Mitte (Ort),Mitte,high,1_room,1,38.8,6,6,modern_1990_2010,D,False,False,False,2.59,683,180,863,17.63
R000087,2020-07-30,2020,7,2020-07,Hohenschönhausen,Lichtenberg,low,3_room,3,96.6,4,4,new_post_2010,D,True,True,False,9.79,857,297,1153,8.87
R000088,2021-08-25,2021,8,2021-08,Lichtenberg (Ort),Lichtenberg,medium,3_room,3,81.9,3,5,post_war_1949_1990,B,False,True,False,8.23,803,242,1045,9.81
R000089,2023-08-18,2023,8,2023-08,Kladow,Spandau,medium,3_room,3,107.1,3,8,altbau_pre_1949,F,False,True,False,17.9,959,395,1354,8.96
R000090,2021-07-30,2021,7,2021-07,Märkisches Viertel,Reinickendorf,low,4_room,4,122.4,3,6,post_war_1949_1990,E,True,False,False,9.83,1127,337,1464,9.21
R000091,2023-03-02,2023,3,2023-03,Friedrichshain,Friedrichshain-Kreuzberg,high,3_room,3,106.2,4,4,new_post_2010,D,False,False,False,5.51,2445,505,2949,23.01
R000092,2022-09-29,2022,9,2022-09,Kreuzberg,Friedrichshain-Kreuzberg,high,2_room,2,57.7,4,5,altbau_pre_1949,D,False,False,False,3.49,1263,265,1527,21.87
R000093,2023-06-20,2023,6,2023-06,Mahlsdorf,Marzahn-Hellersdorf,low,3_room,3,96.0,3,4,post_war_1949_1990,G,False,False,False,16.79,451,357,808,4.7
R000094,2022-10-12,2022,10,2022-10,Hermsdorf,Reinickendorf,medium,1_room,1,28.0,1,3,modern_1990_2010,C,True,False,True,12.16,328,151,479,11.72
R000095,2022-07-06,2022,7,2022-07,Treptow,Treptow-Köpenick,medium,5_room_plus,5,208.1,4,4,post_war_1949_1990,H,True,True,False,6.33,1476,907,2383,7.09
R000096,2024-09-02,2024,9,2024-09,Buch,Pankow,low,3_room,3,124.5,1,3,altbau_pre_1949,H,False,False,False,16.29,1029,323,1353,8.27
R000097,2020-03-24,2020,3,2020-03,Wartenberg,Lichtenberg,low,2_room,2,75.0,1,6,modern_1990_2010,A_plus,True,False,False,12.12,567,267,834,7.56
R000098,2022-01-22,2022,1,2022-01,Mariendorf,Tempelhof-Schöneberg,medium,2_room,2,60.8,4,6,altbau_pre_1949,F,False,True,False,8.37,587,182,769,9.66
R000099,2022-05-03,2022,5,2022-05,Britz,Neukölln,low,4_room,4,111.9,2,5,altbau_pre_1949,G,False,True,True,9.94,1070,419,1489,9.56
R000100,2025-09-29,2025,9,2025-09,Heiligensee,Reinickendorf,medium,1_room,1,45.9,2,6,post_war_1949_1990,D,False,True,False,15.27,366,175,541,7.96
R000101,2022-07-14,2022,7,2022-07,Hohenschönhausen,Lichtenberg,low,3_room,3,68.3,2,3,post_war_1949_1990,G,False,True,False,8.83,442,232,673,6.47
R000102,2023-03-18,2023,3,2023-03,Rudow,Neukölln,low,2_room,2,56.4,3,5,modern_1990_2010,B,False,True,False,12.3,733,242,974,12.99
R000103,2020-05-16,2020,5,2020-05,Karow,Pankow,low,2_room,2,51.1,0,4,post_war_1949_1990,E,False,False,True,13.73,304,186,490,5.96
R000104,2021-02-02,2021,2,2021-02,Haselhorst,Spandau,low,4_room,4,112.9,1,5,modern_1990_2010,D,True,True,False,10.32,699,419,1118,6.19
R000105,2023-04-12,2023,4,2023-04,Malchow,Lichtenberg,low,2_room,2,44.5,3,3,altbau_pre_1949,F,False,True,False,7.89,354,239,593,7.96
R000106,2022-09-14,2022,9,2022-09,Schmöckwitz,Treptow-Köpenick,medium,2_room,2,58.5,0,4,post_war_1949_1990,B,True,False,True,23.99,623,211,834,10.65
R000107,2022-11-30,2022,11,2022-11,Heiligensee,Reinickendorf,medium,1_room,1,36.5,0,3,post_war_1949_1990,C,False,True,True,15.57,333,141,475,9.13
R000108,2024-06-27,2024,6,2024-06,Friedenau,Tempelhof-Schöneberg,high,2_room,2,80.8,1,5,post_war_1949_1990,D,True,True,True,4.71,1601,283,1884,19.82
R000109,2022-03-15,2022,3,2022-03,Karlshorst,Lichtenberg,medium,1_room,1,28.2,3,5,new_post_2010,B,False,True,False,10.26,401,87,488,14.21
R000110,2025-12-24,2025,12,2025-12,Märkisches Viertel,Reinickendorf,low,4_room,4,125.1,3,6,new_post_2010,C,True,True,False,8.99,1529,459,1987,12.22
R000111,2024-12-12,2024,12,2024-12,Marzahn,Marzahn-Hellersdorf,low,2_room,2,65.4,4,4,new_post_2010,A,True,True,False,12.47,470,226,696,7.18
R000112,2023-05-23,2023,5,2023-05,Hermsdorf,Reinickendorf,medium,2_room,2,70.3,1,5,new_post_2010,C,True,False,False,12.37,1013,326,1339,14.41
R000113,2023-01-09,2023,1,2023-01,Malchow,Lichtenberg,low,1_room,1,21.7,0,6,altbau_pre_1949,H,False,True,False,8.68,137,88,225,6.34
R000114,2022-08-21,2022,8,2022-08,Haselhorst,Spandau,low,1_room,1,20.0,1,5,post_war_1949_1990,F,False,True,False,10.39,136,86,223,6.81
R000115,2020-02-27,2020,2,2020-02,Siemensstadt,Spandau,low,2_room,2,77.5,3,4,modern_1990_2010,D,True,True,False,9.41,661,282,944,8.53
R000116,2020-06-18,2020,6,2020-06,Wedding,Mitte,medium,1_room,1,45.5,3,3,new_post_2010,C,False,False,False,3.44,664,171,835,14.58
R000117,2023-05-24,2023,5,2023-05,Wittenau,Reinickendorf,low,2_room,2,45.5,4,8,modern_1990_2010,F,True,False,False,9.26,648,221,869,14.25
R000118,2021-08-08,2021,8,2021-08,Französisch Buchholz,Pankow,medium,1_room,1,34.5,3,3,altbau_pre_1949,F,False,True,False,9.81,366,134,500,10.61
R000119,2023-05-29,2023,5,2023-05,Adlershof,Treptow-Köpenick,medium,1_room,1,20.7,4,4,post_war_1949_1990,E,True,False,False,15.59,166,86,252,7.99
R000120,2022-09-02,2022,9,2022-09,Siemensstadt,Spandau,low,2_room,2,45.8,1,6,modern_1990_2010,D,True,False,True,9.65,412,221,634,9.0
R000121,2023-10-21,2023,10,2023-10,Halensee,Charlottenburg-Wilmersdorf,high,5_room_plus,5,250.7,5,6,altbau_pre_1949,G,False,False,False,5.67,5482,1138,6620,21.87
R000122,2025-12-25,2025,12,2025-12,Grunewald,Charlottenburg-Wilmersdorf,high,4_room,4,118.4,3,4,post_war_1949_1990,B,False,True,False,8.13,2213,469,2682,18.69
R000123,2022-07-18,2022,7,2022-07,Waidmannslust,Reinickendorf,low,2_room,2,59.4,5,5,altbau_pre_1949,G,False,True,False,9.45,601,296,897,10.13
R000124,2024-06-05,2024,6,2024-06,Konradshöhe,Reinickendorf,medium,3_room,3,98.9,8,8,new_post_2010,A_plus,True,True,False,14.66,1554,260,1814,15.71
R000125,2021-02-02,2021,2,2021-02,Konradshöhe,Reinickendorf,medium,2_room,2,82.2,4,4,modern_1990_2010,F,True,True,False,14.34,554,276,830,6.74
R000126,2024-08-28,2024,8,2024-08,Wannsee,Steglitz-Zehlendorf,high,2_room,2,54.2,2,4,post_war_1949_1990,A,True,False,False,18.4,1510,203,1713,27.88
R000127,2025-02-17,2025,2,2025-02,Wilmersdorf,Charlottenburg-Wilmersdorf,high,2_room,2,46.7,3,3,new_post_2010,B,True,True,False,5.53,1501,160,1661,32.14
R000128,2021-07-19,2021,7,2021-07,Friedenau,Tempelhof-Schöneberg,high,1_room,1,40.2,3,4,post_war_1949_1990,A,False,False,True,6.27,594,145,739,14.78
R000129,2020-08-05,2020,8,2020-08,Rudow,Neukölln,low,3_room,3,119.7,4,6,post_war_1949_1990,G,False,False,True,14.11,831,302,1133,6.94
R000130,2023-10-01,2023,10,2023-10,Wilmersdorf,Charlottenburg-Wilmersdorf,high,5_room_plus,5,230.9,5,5,post_war_1949_1990,G,False,True,False,4.89,2860,869,3730,12.39
R000131,2023-08-21,2023,8,2023-08,Köpenick (Ort),Treptow-Köpenick,medium,1_room,1,29.8,3,3,altbau_pre_1949,D,False,True,False,17.03,445,124,569,14.93
R000132,2022-10-01,2022,10,2022-10,Wannsee,Steglitz-Zehlendorf,high,2_room,2,53.1,2,4,post_war_1949_1990,B,True,False,False,17.73,832,182,1015,15.68
R000133,2020-03-12,2020,3,2020-03,Lübars,Reinickendorf,medium,2_room,2,64.8,3,3,post_war_1949_1990,F,False,True,False,10.91,497,184,681,7.67
R000134,2022-04-11,2022,4,2022-04,Karlshorst,Lichtenberg,medium,2_room,2,38.4,0,5,altbau_pre_1949,E,False,True,False,11.82,327,117,444,8.51
R000135,2020-04-29,2020,4,2020-04,Biesdorf,Marzahn-Hellersdorf,low,1_room,1,30.5,4,4,post_war_1949_1990,D,False,False,False,10.87,188,114,301,6.14
R000136,2021-01-14,2021,1,2021-01,Wittenau,Reinickendorf,low,1_room,1,43.6,2,4,post_war_1949_1990,F,True,False,True,8.57,204,158,362,4.68
R000137,2022-10-21,2022,10,2022-10,Schmöckwitz,Treptow-Köpenick,medium,3_room,3,62.5,0,5,post_war_1949_1990,B,True,False,False,23.46,633,259,892,10.12
R000138,2023-07-08,2023,7,2023-07,Hansaviertel,Mitte,high,4_room,4,66.9,1,4,altbau_pre_1949,F,False,True,True,2.6,1600,232,1831,23.91
R000139,2021-04-11,2021,4,2021-04,Kreuzberg,Friedrichshain-Kreuzberg,high,3_room,3,86.0,5,6,altbau_pre_1949,G,False,True,False,3.23,938,288,1227,10.91
R000140,2026-01-01,2026,1,2026-01,Borsigwalde,Reinickendorf,low,1_room,1,40.0,4,4,post_war_1949_1990,D,True,True,False,9.73,510,128,638,12.74
R000141,2022-07-06,2022,7,2022-07,Lankwitz,Steglitz-Zehlendorf,medium,3_room,3,52.7,0,3,post_war_1949_1990,G,False,False,False,9.1,451,199,650,8.56
R000142,2023-09-15,2023,9,2023-09,Kreuzberg,Friedrichshain-Kreuzberg,high,2_room,2,40.2,4,6,modern_1990_2010,C,True,True,False,2.42,866,180,1045,21.55
R000143,2022-09-24,2022,9,2022-09,Siemensstadt,Spandau,low,3_room,3,105.7,6,6,modern_1990_2010,C,True,False,False,7.95,1110,537,1646,10.5
R000144,2023-07-08,2023,7,2023-07,Konradshöhe,Reinickendorf,medium,2_room,2,75.6,0,5,post_war_1949_1990,C,True,True,False,14.26,1039,296,1335,13.75
R000145,2022-02-10,2022,2,2022-02,Plänterwald,Treptow-Köpenick,medium,4_room,4,125.8,3,5,modern_1990_2010,D,False,True,True,7.61,1448,473,1920,11.5
R000146,2020-11-07,2020,11,2020-11,Tiergarten,Mitte,high,3_room,3,95.5,1,5,modern_1990_2010,B,True,False,False,2.03,1512,287,1799,15.83
R000147,2020-12-27,2020,12,2020-12,Mahlsdorf,Marzahn-Hellersdorf,low,5_room_plus,5,158.0,5,5,post_war_1949_1990,E,False,True,True,16.92,710,464,1174,4.49
R000148,2022-01-12,2022,1,2022-01,Schmargendorf,Charlottenburg-Wilmersdorf,high,3_room,3,96.1,0,4,altbau_pre_1949,G,False,True,True,7.48,1453,269,1722,15.11
R000149,2023-11-22,2023,11,2023-11,Plänterwald,Treptow-Köpenick,medium,3_room,3,81.7,2,6,post_war_1949_1990,G,False,False,False,8.03,600,328,928,7.34
R000150,2025-11-15,2025,11,2025-11,Friedrichshagen,Treptow-Köpenick,medium,3_room,3,87.0,1,4,altbau_pre_1949,G,False,True,False,16.99,934,296,1229,10.74
R000151,2020-06-02,2020,6,2020-06,Wannsee,Steglitz-Zehlendorf,high,3_room,3,85.3,2,4,altbau_pre_1949,F,False,False,False,18.76,1505,233,1738,17.64
R000152,2023-06-02,2023,6,2023-06,Heiligensee,Reinickendorf,medium,4_room,4,143.4,0,6,post_war_1949_1990,D,True,True,False,15.64,1147,690,1837,8.0
R000153,2025-07-16,2025,7,2025-07,Borsigwalde,Reinickendorf,low,1_room,1,33.6,1,4,post_war_1949_1990,G,True,True,False,11.1,241,86,326,7.16
R000154,2023-09-29,2023,9,2023-09,Gatow,Spandau,medium,1_room,1,49.4,6,6,post_war_1949_1990,E,True,True,False,13.94,461,235,696,9.33
R000155,2021-08-13,2021,8,2021-08,Nikolassee,Steglitz-Zehlendorf,high,3_room,3,67.6,5,5,altbau_pre_1949,H,True,True,False,14.2,832,236,1067,12.29
R000156,2023-12-11,2023,12,2023-12,Lübars,Reinickendorf,medium,1_room,1,42.3,5,8,modern_1990_2010,D,False,True,False,10.42,480,157,637,11.34
